aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Las americas,Australia,NO RESIDENTES,Resto del mundo,Enero,60,1,2015,2015-01-01,3,6
Las americas,Otros,NO RESIDENTES,Resto del mundo,Enero,45,1,2015,2015-01-01,3,6
Puerto plata,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,826,1,2015,2015-01-01,4,1
Puerto plata,Canadá,NO RESIDENTES,America del norte,Enero,20371,1,2015,2015-01-01,4,2
Puerto plata,Estados Unidos,NO RESIDENTES,America del norte,Enero,12038,1,2015,2015-01-01,4,2
Puerto plata,México,NO RESIDENTES,America del norte,Enero,5,1,2015,2015-01-01,4,2
Puerto plata,Aruba,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,15,1,2015,2015-01-01,4,1
Puerto plata,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Cuba,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,4,1
Puerto plata,Curazao,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,El Salvador,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Guatemala,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Haití,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,4,1
Puerto plata,Honduras,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Jamaica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Panamá,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,4,1
Puerto plata,San Martin,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,4,1
Puerto plata,Otros,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,4,1
Puerto plata,Argentina,NO RESIDENTES,America del sur,Enero,0,1,2015,2015-01-01,4,3
Puerto plata,Bolivia,NO RESIDENTES,America del sur,Enero,0,1,2015,2015-01-01,4,3
Puerto plata,Brasil,NO RESIDENTES,America del sur,Enero,5,1,2015,2015-01-01,4,3
Puerto plata,Chile,NO RESIDENTES,America del sur,Enero,0,1,2015,2015-01-01,4,3
Puerto plata,Colombia,NO RESIDENTES,America del sur,Enero,10,1,2015,2015-01-01,4,3
Puerto plata,Ecuador,NO RESIDENTES,America del sur,Enero,5,1,2015,2015-01-01,4,3
Puerto plata,Perú,NO RESIDENTES,America del sur,Enero,5,1,2015,2015-01-01,4,3
Puerto plata,Uruguay,NO RESIDENTES,America del sur,Enero,0,1,2015,2015-01-01,4,3
Puerto plata,Venezuela,NO RESIDENTES,America del sur,Enero,5,1,2015,2015-01-01,4,3
Puerto plata,Otros,NO RESIDENTES,America del sur,Enero,5,1,2015,2015-01-01,4,3
Puerto plata,China,NO RESIDENTES,Asia,Enero,10,1,2015,2015-01-01,4,4
Puerto plata,Corea del Sur,NO RESIDENTES,Asia,Enero,5,1,2015,2015-01-01,4,4
Puerto plata,India,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,4,4
Puerto plata,Israel,NO RESIDENTES,Asia,Enero,10,1,2015,2015-01-01,4,4
Puerto plata,Japón,NO RESIDENTES,Asia,Enero,5,1,2015,2015-01-01,4,4
