aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Las americas,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,30633,1,2017,2017-01-01,3,1
Las americas,Canadá,NO RESIDENTES,America del norte,Enero,1215,1,2017,2017-01-01,3,2
Las americas,Estados Unidos,NO RESIDENTES,America del norte,Enero,22325,1,2017,2017-01-01,3,2
Las americas,México,NO RESIDENTES,America del norte,Enero,1280,1,2017,2017-01-01,3,2
Las americas,Aruba,NO RESIDENTES,America central y el caribe,Enero,20,1,2017,2017-01-01,3,1
Las americas,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,10,1,2017,2017-01-01,3,1
Las americas,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,828,1,2017,2017-01-01,3,1
Las americas,Cuba,NO RESIDENTES,America central y el caribe,Enero,2095,1,2017,2017-01-01,3,1
Las americas,Curazao,NO RESIDENTES,America central y el caribe,Enero,105,1,2017,2017-01-01,3,1
Las americas,El Salvador,NO RESIDENTES,America central y el caribe,Enero,215,1,2017,2017-01-01,3,1
Las americas,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,10,1,2017,2017-01-01,3,1
Las americas,Guatemala,NO RESIDENTES,America central y el caribe,Enero,457,1,2017,2017-01-01,3,1
Las americas,Haití,NO RESIDENTES,America central y el caribe,Enero,423,1,2017,2017-01-01,3,1
Las americas,Honduras,NO RESIDENTES,America central y el caribe,Enero,210,1,2017,2017-01-01,3,1
Las americas,Jamaica,NO RESIDENTES,America central y el caribe,Enero,150,1,2017,2017-01-01,3,1
Las americas,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,3,1
Las americas,Panamá,NO RESIDENTES,America central y el caribe,Enero,683,1,2017,2017-01-01,3,1
Las americas,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,2095,1,2017,2017-01-01,3,1
Las americas,San Martin,NO RESIDENTES,America central y el caribe,Enero,65,1,2017,2017-01-01,3,1
Las americas,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,80,1,2017,2017-01-01,3,1
Las americas,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,3,1
Las americas,Otros,NO RESIDENTES,America central y el caribe,Enero,255,1,2017,2017-01-01,3,1
Las americas,Argentina,NO RESIDENTES,America del sur,Enero,2762,1,2017,2017-01-01,3,3
Las americas,Bolivia,NO RESIDENTES,America del sur,Enero,80,1,2017,2017-01-01,3,3
Las americas,Brasil,NO RESIDENTES,America del sur,Enero,1180,1,2017,2017-01-01,3,3
Las americas,Chile,NO RESIDENTES,America del sur,Enero,1699,1,2017,2017-01-01,3,3
Las americas,Colombia,NO RESIDENTES,America del sur,Enero,2145,1,2017,2017-01-01,3,3
Las americas,Ecuador,NO RESIDENTES,America del sur,Enero,361,1,2017,2017-01-01,3,3
Las americas,Perú,NO RESIDENTES,America del sur,Enero,467,1,2017,2017-01-01,3,3
Las americas,Uruguay,NO RESIDENTES,America del sur,Enero,250,1,2017,2017-01-01,3,3
Las americas,Venezuela,NO RESIDENTES,America del sur,Enero,6887,1,2017,2017-01-01,3,3
Las americas,Otros,NO RESIDENTES,America del sur,Enero,55,1,2017,2017-01-01,3,3
Las americas,China,NO RESIDENTES,Asia,Enero,271,1,2017,2017-01-01,3,4
Las americas,Corea del Sur,NO RESIDENTES,Asia,Enero,255,1,2017,2017-01-01,3,4
Las americas,India,NO RESIDENTES,Asia,Enero,226,1,2017,2017-01-01,3,4
Las americas,Israel,NO RESIDENTES,Asia,Enero,150,1,2017,2017-01-01,3,4
Las americas,Japón,NO RESIDENTES,Asia,Enero,160,1,2017,2017-01-01,3,4
Las americas,Taiwan,NO RESIDENTES,Asia,Enero,35,1,2017,2017-01-01,3,4
Las americas,Otros,NO RESIDENTES,Asia,Enero,451,1,2017,2017-01-01,3,4
Las americas,Alemania,NO RESIDENTES,Europa,Enero,1442,1,2017,2017-01-01,3,5
Las americas,Austria,NO RESIDENTES,Europa,Enero,95,1,2017,2017-01-01,3,5
Las americas,Bélgica,NO RESIDENTES,Europa,Enero,346,1,2017,2017-01-01,3,5
Las americas,Bulgaria,NO RESIDENTES,Europa,Enero,80,1,2017,2017-01-01,3,5
Las americas,Dinamarca,NO RESIDENTES,Europa,Enero,120,1,2017,2017-01-01,3,5
Las americas,Escocia,NO RESIDENTES,Europa,Enero,0,1,2017,2017-01-01,3,5
Las americas,España,NO RESIDENTES,Europa,Enero,5069,1,2017,2017-01-01,3,5
Las americas,Finlandia,NO RESIDENTES,Europa,Enero,90,1,2017,2017-01-01,3,5
Las americas,Francia,NO RESIDENTES,Europa,Enero,4863,1,2017,2017-01-01,3,5
Las americas,Grecia,NO RESIDENTES,Europa,Enero,80,1,2017,2017-01-01,3,5
Las americas,Holanda,NO RESIDENTES,Europa,Enero,904,1,2017,2017-01-01,3,5
Las americas,Hungría,NO RESIDENTES,Europa,Enero,50,1,2017,2017-01-01,3,5
Las americas,Inglaterra,NO RESIDENTES,Europa,Enero,443,1,2017,2017-01-01,3,5
Las americas,Irlanda,NO RESIDENTES,Europa,Enero,40,1,2017,2017-01-01,3,5
Las americas,Italia,NO RESIDENTES,Europa,Enero,4078,1,2017,2017-01-01,3,5
Las americas,Luxemburgo,NO RESIDENTES,Europa,Enero,0,1,2017,2017-01-01,3,5
Las americas,Noruega,NO RESIDENTES,Europa,Enero,110,1,2017,2017-01-01,3,5
Las americas,Polonia,NO RESIDENTES,Europa,Enero,115,1,2017,2017-01-01,3,5
Las americas,Portugal,NO RESIDENTES,Europa,Enero,367,1,2017,2017-01-01,3,5
Las americas,República Checa,NO RESIDENTES,Europa,Enero,95,1,2017,2017-01-01,3,5
Las americas,Rumania,NO RESIDENTES,Europa,Enero,40,1,2017,2017-01-01,3,5
Las americas,Rusia,NO RESIDENTES,Europa,Enero,331,1,2017,2017-01-01,3,5
Las americas,Suecia,NO RESIDENTES,Europa,Enero,100,1,2017,2017-01-01,3,5
Las americas,Suiza,NO RESIDENTES,Europa,Enero,448,1,2017,2017-01-01,3,5
Las americas,Ucrania,NO RESIDENTES,Europa,Enero,387,1,2017,2017-01-01,3,5
Las americas,Otros,NO RESIDENTES,Europa,Enero,50,1,2017,2017-01-01,3,5
Las americas,Australia,NO RESIDENTES,Resto del mundo,Enero,115,1,2017,2017-01-01,3,6
Las americas,Otros,NO RESIDENTES,Resto del mundo,Enero,75,1,2017,2017-01-01,3,6
Puerto plata,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,1610,1,2017,2017-01-01,4,1
Puerto plata,Canadá,NO RESIDENTES,America del norte,Enero,28324,1,2017,2017-01-01,4,2
Puerto plata,Estados Unidos,NO RESIDENTES,America del norte,Enero,10606,1,2017,2017-01-01,4,2
Puerto plata,México,NO RESIDENTES,America del norte,Enero,0,1,2017,2017-01-01,4,2
Puerto plata,Aruba,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,10,1,2017,2017-01-01,4,1
Puerto plata,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Cuba,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Curazao,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,El Salvador,NO RESIDENTES,America central y el caribe,Enero,10,1,2017,2017-01-01,4,1
Puerto plata,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Guatemala,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Haití,NO RESIDENTES,America central y el caribe,Enero,10,1,2017,2017-01-01,4,1
Puerto plata,Honduras,NO RESIDENTES,America central y el caribe,Enero,5,1,2017,2017-01-01,4,1
Puerto plata,Jamaica,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Panamá,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,San Martin,NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,5,1,2017,2017-01-01,4,1
Puerto plata,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2017,2017-01-01,4,1
Puerto plata,Otros,NO RESIDENTES,America central y el caribe,Enero,15,1,2017,2017-01-01,4,1
Puerto plata,Argentina,NO RESIDENTES,America del sur,Enero,5,1,2017,2017-01-01,4,3
Puerto plata,Bolivia,NO RESIDENTES,America del sur,Enero,0,1,2017,2017-01-01,4,3
Puerto plata,Brasil,NO RESIDENTES,America del sur,Enero,10,1,2017,2017-01-01,4,3
Puerto plata,Chile,NO RESIDENTES,America del sur,Enero,0,1,2017,2017-01-01,4,3
Puerto plata,Colombia,NO RESIDENTES,America del sur,Enero,5,1,2017,2017-01-01,4,3
Puerto plata,Ecuador,NO RESIDENTES,America del sur,Enero,15,1,2017,2017-01-01,4,3
