aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Las americas,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,37573,1,2019,2019-01-01,3,1
Las americas,Canadá,NO RESIDENTES,America del norte,Enero,1580,1,2019,2019-01-01,3,2
Las americas,Estados Unidos,NO RESIDENTES,America del norte,Enero,27342,1,2019,2019-01-01,3,2
Las americas,México,NO RESIDENTES,America del norte,Enero,1968,1,2019,2019-01-01,3,2
Las americas,Aruba,NO RESIDENTES,America central y el caribe,Enero,56,1,2019,2019-01-01,3,1
Las americas,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,32,1,2019,2019-01-01,3,1
Las americas,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,693,1,2019,2019-01-01,3,1
Las americas,Cuba,NO RESIDENTES,America central y el caribe,Enero,1753,1,2019,2019-01-01,3,1
Las americas,Curazao,NO RESIDENTES,America central y el caribe,Enero,173,1,2019,2019-01-01,3,1
Las americas,El Salvador,NO RESIDENTES,America central y el caribe,Enero,177,1,2019,2019-01-01,3,1
Las americas,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2019,2019-01-01,3,1
Las americas,Guatemala,NO RESIDENTES,America central y el caribe,Enero,402,1,2019,2019-01-01,3,1
Las americas,Haití,NO RESIDENTES,America central y el caribe,Enero,1222,1,2019,2019-01-01,3,1
Las americas,Honduras,NO RESIDENTES,America central y el caribe,Enero,222,1,2019,2019-01-01,3,1
Las americas,Jamaica,NO RESIDENTES,America central y el caribe,Enero,197,1,2019,2019-01-01,3,1
Las americas,Martinica,NO RESIDENTES,America central y el caribe,Enero,4,1,2019,2019-01-01,3,1
Las americas,Panamá,NO RESIDENTES,America central y el caribe,Enero,830,1,2019,2019-01-01,3,1
Las americas,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,3242,1,2019,2019-01-01,3,1
Las americas,San Martin,NO RESIDENTES,America central y el caribe,Enero,65,1,2019,2019-01-01,3,1
Las americas,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,68,1,2019,2019-01-01,3,1
Las americas,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2019,2019-01-01,3,1
