aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Republica Dominicana,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,19906,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Canadá,NO RESIDENTES,AMERICA DEL NORTE,enero,1983,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Estados Unidos,NO RESIDENTES,AMERICA DEL NORTE,enero,27583,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,México,NO RESIDENTES,AMERICA DEL NORTE,enero,1311,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Aruba,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,"Caicos y Turcas, Islas",NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Costa Rica,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,507,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Cuba,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,602,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Curazao,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,5,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,El Salvador,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,266,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Guadalupe,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Guatemala,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,311,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Haití,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,422,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Honduras,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,136,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Jamaica,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,70,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Martinica,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Panamá,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,442,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Puerto  Rico,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,San Martin,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Trinidad y Tobago,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,62,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,"Virgenes Americanas, Islas",NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,0,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Otros,NO RESIDENTES,AMERICA CENTRAL Y EL CARIBE,enero,220,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Argentina,NO RESIDENTES,AMERICA DEL SUR,enero,1667,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Bolivia,NO RESIDENTES,AMERICA DEL SUR,enero,367,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Brasil,NO RESIDENTES,AMERICA DEL SUR,enero,818,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Chile,NO RESIDENTES,AMERICA DEL SUR,enero,1928,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Colombia,NO RESIDENTES,AMERICA DEL SUR,enero,1436,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Ecuador,NO RESIDENTES,AMERICA DEL SUR,enero,311,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Perú,NO RESIDENTES,AMERICA DEL SUR,enero,889,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Uruguay,NO RESIDENTES,AMERICA DEL SUR,enero,216,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Venezuela,NO RESIDENTES,AMERICA DEL SUR,enero,2435,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Otros,NO RESIDENTES,AMERICA DEL SUR,enero,130,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,China,NO RESIDENTES,ASIA,enero,70,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Corea del Sur,NO RESIDENTES,ASIA,enero,236,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,India,NO RESIDENTES,ASIA,enero,120,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Israel,NO RESIDENTES,ASIA,enero,211,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Japón,NO RESIDENTES,ASIA,enero,211,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Taiwan,NO RESIDENTES,ASIA,enero,75,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Otros,NO RESIDENTES,ASIA,enero,156,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Alemania,NO RESIDENTES,EUROPA,enero,1496,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Austria,NO RESIDENTES,EUROPA,enero,206,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Bélgica,NO RESIDENTES,EUROPA,enero,151,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Bulgaria,NO RESIDENTES,EUROPA,enero,70,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Dinamarca,NO RESIDENTES,EUROPA,enero,156,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Escocia,NO RESIDENTES,EUROPA,enero,5,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,España,NO RESIDENTES,EUROPA,enero,4187,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Finlandia,NO RESIDENTES,EUROPA,enero,45,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Francia,NO RESIDENTES,EUROPA,enero,3394,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Grecia,NO RESIDENTES,EUROPA,enero,50,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Holanda,NO RESIDENTES,EUROPA,enero,708,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Hungría,NO RESIDENTES,EUROPA,enero,40,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Inglaterra,NO RESIDENTES,EUROPA,enero,582,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Irlanda,NO RESIDENTES,EUROPA,enero,105,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Italia,NO RESIDENTES,EUROPA,enero,3324,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Luxemburgo,NO RESIDENTES,EUROPA,enero,5,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Noruega,NO RESIDENTES,EUROPA,enero,100,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Polonia,NO RESIDENTES,EUROPA,enero,70,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,Portugal,NO RESIDENTES,EUROPA,enero,161,1,2018,2018-01-01
AEROPUERTO INTERNACIONAL DE LAS AMERICAS,República Checa,NO RESIDENTES,EUROPA,enero,20,1,2018,2018-01-01
