aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Las americas,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,32354,1,2018,2018-01-01,3,1
Las americas,Canadá,NO RESIDENTES,America del norte,Enero,1345,1,2018,2018-01-01,3,2
Las americas,Estados Unidos,NO RESIDENTES,America del norte,Enero,20716,1,2018,2018-01-01,3,2
Las americas,México,NO RESIDENTES,America del norte,Enero,1612,1,2018,2018-01-01,3,2
Las americas,Aruba,NO RESIDENTES,America central y el caribe,Enero,12,1,2018,2018-01-01,3,1
Las americas,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2018,2018-01-01,3,1
Las americas,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,675,1,2018,2018-01-01,3,1
Las americas,Cuba,NO RESIDENTES,America central y el caribe,Enero,1646,1,2018,2018-01-01,3,1
Las americas,Curazao,NO RESIDENTES,America central y el caribe,Enero,52,1,2018,2018-01-01,3,1
Las americas,El Salvador,NO RESIDENTES,America central y el caribe,Enero,144,1,2018,2018-01-01,3,1
Las americas,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,12,1,2018,2018-01-01,3,1
Las americas,Guatemala,NO RESIDENTES,America central y el caribe,Enero,401,1,2018,2018-01-01,3,1
Las americas,Haití,NO RESIDENTES,America central y el caribe,Enero,386,1,2018,2018-01-01,3,1
Las americas,Honduras,NO RESIDENTES,America central y el caribe,Enero,254,1,2018,2018-01-01,3,1
Las americas,Jamaica,NO RESIDENTES,America central y el caribe,Enero,143,1,2018,2018-01-01,3,1
Las americas,Martinica,NO RESIDENTES,America central y el caribe,Enero,4,1,2018,2018-01-01,3,1
Las americas,Panamá,NO RESIDENTES,America central y el caribe,Enero,773,1,2018,2018-01-01,3,1
Las americas,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,1964,1,2018,2018-01-01,3,1
Las americas,San Martin,NO RESIDENTES,America central y el caribe,Enero,64,1,2018,2018-01-01,3,1
Las americas,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,68,1,2018,2018-01-01,3,1
Las americas,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,4,1,2018,2018-01-01,3,1
Las americas,Otros,NO RESIDENTES,America central y el caribe,Enero,454,1,2018,2018-01-01,3,1
Las americas,Argentina,NO RESIDENTES,America del sur,Enero,2317,1,2018,2018-01-01,3,3
Las americas,Bolivia,NO RESIDENTES,America del sur,Enero,151,1,2018,2018-01-01,3,3
Las americas,Brasil,NO RESIDENTES,America del sur,Enero,1393,1,2018,2018-01-01,3,3
Las americas,Chile,NO RESIDENTES,America del sur,Enero,1102,1,2018,2018-01-01,3,3
Las americas,Colombia,NO RESIDENTES,America del sur,Enero,2191,1,2018,2018-01-01,3,3
Las americas,Ecuador,NO RESIDENTES,America del sur,Enero,381,1,2018,2018-01-01,3,3
Las americas,Perú,NO RESIDENTES,America del sur,Enero,535,1,2018,2018-01-01,3,3
Las americas,Uruguay,NO RESIDENTES,America del sur,Enero,238,1,2018,2018-01-01,3,3
Las americas,Venezuela,NO RESIDENTES,America del sur,Enero,7190,1,2018,2018-01-01,3,3
Las americas,Otros,NO RESIDENTES,America del sur,Enero,104,1,2018,2018-01-01,3,3
Las americas,China,NO RESIDENTES,Asia,Enero,266,1,2018,2018-01-01,3,4
Las americas,Corea del Sur,NO RESIDENTES,Asia,Enero,195,1,2018,2018-01-01,3,4
Las americas,India,NO RESIDENTES,Asia,Enero,238,1,2018,2018-01-01,3,4
Las americas,Israel,NO RESIDENTES,Asia,Enero,124,1,2018,2018-01-01,3,4
Las americas,Japón,NO RESIDENTES,Asia,Enero,128,1,2018,2018-01-01,3,4
Las americas,Taiwan,NO RESIDENTES,Asia,Enero,40,1,2018,2018-01-01,3,4
Las americas,Otros,NO RESIDENTES,Asia,Enero,546,1,2018,2018-01-01,3,4
Las americas,Alemania,NO RESIDENTES,Europa,Enero,1144,1,2018,2018-01-01,3,5
