"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"España","163273","10887","9814","14061","11462","10562","15719","17969","18792","12958","12642","12594","15813"
NA,"Finlandia","4379","962","1281","808","47","30","90","32","6","41","50","120","912"
NA,"Francia","228629","26952","29383","23435","27183","16271","11576","16612","18036","7636","13851","15148","22546"
NA,"Grecia","1208","142","122","173","125","84","96","47","73","80","26","111","129"
NA,"Holanda","31444","3399","1783","2725","2863","2362","2580","3602","2903","1493","2189","2232","3313"
NA,"Hungría","4827","926","543","507","157","237","313","157","119","294","328","570","676"
NA,"Inglaterra","187492","11432","10310","11642","16650","19389","18073","23163","20498","16137","18235","11464","10499"
NA,"Irlanda","1569","63","188","96","177","109","174","173","75","145","112","82","175"
NA,"Italia","82581","10226","9070","7290","7430","4017","5883","6191","7958","3672","4123","7162","9559"
NA,"Luxemburgo","959","87","106","165","168","58","27","45","45","16","51","41","150"
NA,"Noruega","1781","467","420","137","34","72","84","159","48","56","88","58","158"
NA,"Polonia","40011","5769","5351","2304","1263","1150","1696","2445","2306","3342","3111","5034","6240"
NA,"Portugal","42824","2378","2141","2382","3860","2293","5389","5748","7106","3624","2759","2674","2470"
NA,"República Checa","7895","963","1062","865","798","315","627","232","198","450","372","1141","872"
NA,"Rumania","6678","805","584","400","635","436","443","292","281","429","727","586","1060"
NA,"Rusia","224064","21449","18199","20893","17087","15215","14951","16914","13386","14557","21711","24389","25313"
NA,"Suecia","11950","3749","2979","2619","287","81","88","125","57","47","89","111","1718"
NA,"Suiza","36621","3238","3615","4014","3182","1284","2636","4163","1658","1531","4119","3448","3733"
NA,"Ucrania","19762","3015","1900","2359","1225","1628","864","685","521","775","1522","2196","3072"
NA,"Otros","8053","938","861","677","567","657","859","344","322","396","620","915","897"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","5208","331","390","502","380","465","290","543","338","229","239","620","881"
NA,"Australia","1693","204","223","232","145","83","104","100","126","48","82","138","208"
NA,"Otros","3515","127","167","270","235","382","186","443","212","181","157","482","673"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1837689","150856","124676","152928","138949","146591","159429","184537","165554","126764","136409","149534","201462"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","462912","53024","25318","29238","35533","34836","32989","46068","49797","41205","38180","38245","38479"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","427348","48084","23197","26483","32365","32389","30403","42708","46416","38427","35681","34919","36276"
NA,"EXTRANJEROS","35564","4940","2121","2755","3168","2447","2586","3360","3381","2778","2499","3326","2203"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1374777","97832","99358","123690","103416","111755","126440","138469","115757","85559","98229","111289","162983"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","477198","32354","27777","38974","31421","36477","43917","49671","40251","32261","32516","35956","75623"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","897579","65478","71581","84716","71995","75278","82523","88798","75506","53298","65713","75333","87360"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","399278","23673","29570","39912","28884","32250","42413","44889","36131","22233","26684","32628","40011"
NA,"Canadá","9602","1345","1465","1928","1020","483","344","508","350","364","400","522","873"
NA,"Estados Unidos","363220","20716","26480","35684","25616","29502","39940","41473","33414","19732","23885","29916","36862"
