"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","6831883","618313","573550","624271","606325","520978","592789","702855","593636","360458","449234","507429","682045"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","644341","72686","35431","42410","48806","48090","47132","65192","72846","49096","53568","53794","55290"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","604197","67291","32974","39285","45632","44386","44291","61639","68735","46035","50219","51002","52708"
NA,"EXTRANJEROS","40144","5395","2457","3125","3174","3704","2841","3553","4111","3061","3349","2792","2582"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","6187542","545627","538119","581861","557519","472888","545657","637663","520790","311362","395666","453635","626755"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","833525","59889","52657","57812","62324","61698","76980","91644","75346","52774","58200","60669","123532"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","5354017","485738","485462","524049","495195","411190","468677","546019","445444","258588","337466","392966","503223"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2938425","270788","292818","337352","288659","221360","271694","309514","232461","98870","147082","192116","275711"
NA,"Canadá","827721","119330","115852","128110","89853","39764","37187","42160","40877","22357","32830","60260","99141"
NA,"Estados Unidos","2073963","149019","175106","206600","194941","178935","231259","262861","188410","74161","110945","128590","173136"
NA,"México","36741","2439","1860","2642","3865","2661","3248","4493","3174","2352","3307","3266","3434"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","244556","14874","15821","15469","19149","20937","32237","39389","23457","12887","14401","18492","17443"
NA,"Aruba","789","26","40","20","75","70","75","75","45","42","123","127","71"
NA,"Caicos y Turcas, Islas","1228","60","70","110","75","123","105","115","165","85","100","95","125"
NA,"Costa Rica","12340","1315","769","990","1189","1218","1092","1152","850","780","1017","913","1055"
NA,"Cuba","35117","2270","2375","2288","1990","3295","4126","4028","3968","2406","2568","2958","2845"
NA,"Curazao","2472","105","185","40","255","225","300","196","230","115","175","306","340"
NA,"El Salvador","5769","410","326","445","566","695","611","553","485","395","486","402","395"
NA,"Guadalupe","670","10","20","0","10","15","30","120","405","20","5","15","20"
NA,"Guatemala","8511","578","556","675","970","818","847","766","525","425","744","776","831"
NA,"Haití","15097","1162","1266","1032","1009","1047","1333","1528","1144","1157","1230","1498","1691"
NA,"Honduras","3902","295","305","331","297","300","325","333","330","371","399","325","291"
NA,"Jamaica","4715","195","140","361","490","453","406","457","491","271","465","550","436"
NA,"Martinica","120","0","15","0","10","25","15","15","15","0","5","15","5"
NA,"Panamá","28463","3810","3059","2765","3548","1947","1497","2644","2650","1035","1870","1985","1653"
NA,"Puerto  Rico","111095","3963","5738","5821","6767","9611","20305","25525","10094","4882","4259","7441","6689"
NA,"San Martin","1130","65","65","40","100","130","135","135","125","70","40","110","115"
NA,"Trinidad y Tobago","5375","115","511","161","590","405","300","961","1305","231","210","381","205"
NA,"Virgenes Americanas, Islas","35","0","0","0","5","5","0","5","10","0","5","0","5"
NA,"Otros","7728","495","381","390","1203","555","735","781","620","602","700","595","671"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","706368","62986","50810","46194","56656","64810","60063","67466","61886","52025","61441","57600","64431"
NA,"Argentina","182170","16581","12840","12243","13813","18606","15106","16021","13951","14531","15257","16106","17115"
