"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,"Bolivia","11192","934","475","360","670","895","985","850","900","670","890","1569","1994"
NA,"Brasil","95416","7683","6300","6673","6535","8644","7384","8527","7007","6767","8425","8626","12845"
NA,"Chile","101481","8479","9056","4854","7185","10411","9392","9301","9952","8318","10555","7551","6427"
NA,"Colombia","103444","10577","6350","7559","9841","9193","9114","10037","9072","6161","7902","7846","9792"
NA,"Ecuador","14428","952","854","1043","1005","905","931","1922","2125","927","1234","1284","1246"
NA,"Perú","53761","5889","4267","4301","4200","4588","4152","6654","5019","3816","5389","2537","2949"
NA,"Uruguay","26214","1916","1810","1701","1888","2458","3144","2225","2981","2023","2582","2186","1300"
NA,"Venezuela","109734","8916","8172","7139","10779","8395","9200","10888","10104","8166","8637","9160","10178"
NA,"Otros","8528","1059","686","321","740","715","655","1041","775","646","570","735","585"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","27869","2010","1433","1671","1778","2379","2298","2698","2430","2077","2540","3121","3434"
NA,"China","5103","364","256","316","282","373","335","521","449","445","344","544","874"
NA,"Corea del Sur","2970","270","185","140","236","260","367","423","155","190","188","275","281"
NA,"India","4649","283","185","270","270","445","360","502","470","215","310","699","640"
NA,"Israel","3210","210","135","201","262","236","186","246","226","257","608","265","378"
NA,"Japón","2108","206","165","150","115","175","105","171","155","205","225","165","271"
NA,"Taiwan","995","45","45","145","75","80","115","130","65","50","80","100","65"
NA,"Otros","8834","632","462","449","538","810","830","705","910","715","785","1073","925"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","1431459","134746","124202","122836","128260","101223","101945","126449","124864","92414","111651","121183","141686"
NA,"Alemania","265709","24626","25634","27035","25763","17982","20465","17588","19534","18497","21597","23667","23321"
NA,"Austria","10687","1343","690","896","1132","517","715","1018","425","546","770","1205","1430"
NA,"Bélgica","37416","3066","2737","2924","3729","2356","2918","4300","3476","2524","2712","2876","3798"
NA,"Bulgaria","2691","351","150","87","161","160","375","216","87","167","250","311","376"
NA,"Dinamarca","2621","590","470","401","260","40","70","245","50","20","55","160","260"
NA,"Escocia","370","5","0","0","5","35","35","35","10","65","60","65","55"
NA,"España","177993","12385","11285","8746","15297","13423","14118","22184","23401","13398","14045","13076","16635"
NA,"Finlandia","5170","1184","1160","1020","50","55","45","35","20","25","105","85","1386"
NA,"Francia","221492","27702","28906","23831","24052","12518","9706","17658","18207","6793","13785","16160","22174"
NA,"Grecia","1038","125","116","87","81","80","30","91","100","65","42","116","105"
NA,"Holanda","38598","3459","2351","3291","3332","2393","3225","4899","3137","2705","3224","2878","3704"
NA,"Hungría","4272","1148","430","127","251","136","160","135","155","365","505","355","505"
NA,"Inglaterra","177534","12860","11939","13646","13464","18113","15673","18072","18042","15493","14722","13317","12193"
NA,"Irlanda","1426","120","70","120","105","124","100","140","105","115","125","137","165"
NA,"Italia","84094","10359","8069","7267","7949","4263","5759","7033","7379","4171","4497","6503","10845"
NA,"Luxemburgo","500","10","10","10","55","30","5","35","55","20","50","75","145"
NA,"Noruega","1645","205","475","241","50","39","145","125","20","15","90","120","120"
NA,"Polonia","35733","3960","2618","2850","1281","1331","1336","3621","3373","2326","2419","6062","4556"
NA,"Portugal","33197","677","559","826","2352","2464","3823","5592","6369","3412","2712","1859","2552"
NA,"República Checa","5071","323","616","405","402","309","180","265","245","340","445","736","805"
NA,"Rumania","4716","131","106","332","153","302","356","295","236","480","565","997","763"
NA,"Rusia","245346","21003","17869","20480","22865","20186","18105","17307","17081","17468","23789","23499","25694"
NA,"Suecia","19108","4867","4158","4259","640","84","276","330","55","50","123","516","3750"
NA,"Suiza","32508","2383","2995","3085","3379","2313","2734","3380","1637","1779","2452","3107","3264"
NA,"Ucrania","16394","1488","380","491","912","1437","1186","1328","1387","1112","2011","2464","2198"
NA,"Otros","6130","376","409","379","540","533","405","522","278","463","501","837","887"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","5340","334","378","527","693","481","440","503","346","315","351","454","518"
NA,"Australia","2723","220","298","196","496","235","180","180","140","150","180","144","304"
NA,"Otros","2617","114","80","331","197","246","260","323","206","165","171","310","214"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1819620","152131","126984","138439","156136","144179","161132","187156","167913","113582","139178","143999","188791"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","471606","51610","26453","32092","37957","36789","34914","47539","51832","35720","38426","37817","40457"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","436249","46807","24324","29312","35080","33590","32429","44363","48265","33128","35419","35381","38151"
NA,"EXTRANJEROS","35357","4803","2129","2780","2877","3199","2485","3176","3567","2592","3007","2436","2306"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1348014","100521","100531","106347","118179","107390","126218","139617","116081","77862","100752","106182","148334"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","427338","30633","25462","30640","34730","32657","39080","44902","36503","26238","29368","31540","65585"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","920676","69888","75069","75707","83449","74733","87138","94715","79578","51624","71384","74642","82749"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","384329","24820","29102","35458","34526","29041","42480","45292","33724","17747","26894","29605","35640"
NA,"Canadá","8146","1215","1207","1172","1140","405","440","453","355","280","383","330","766"
NA,"Estados Unidos","353026","22325","26459","32498","30537","26766","40236","42452","31812","16005","24222","27055","32659"
NA,"México","23157","1280","1436","1788","2849","1870","1804","2387","1557","1462","2289","2220","2215"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","114861","7701","8610","8131","11272","10485","11013","11197","9398","7089","8466","11768","9731"
NA,"Aruba","735","20","40","20","75","65","75","70","45","40","100","120","65"
NA,"Caicos y Turcas, Islas","170","10","0","20","0","20","15","15","15","15","15","25","20"
NA,"Costa Rica","8352","828","514","815","835","693","637","802","608","595","687","758","580"
NA,"Cuba","26408","2095","2214","2073","1780","2458","2262","2289","2558","1712","2115","2502","2350"
NA,"Curazao","2417","105","185","40","255","220","300","186","200","110","175","301","340"
NA,"El Salvador","3042","215","145","330","360","365","355","233","230","215","249","200","145"
NA,"Guadalupe","155","10","10","0","10","15","30","25","5","20","5","15","10"
NA,"Guatemala","5738","457","325","550","825","563","553","409","365","285","458","452","496"
NA,"Haití","6880","423","578","375","470","494","663","846","608","565","523","643","692"
NA,"Honduras","2861","210","210","250","230","215","250","242","235","315","334","240","130"
NA,"Jamaica","2536","150","80","195","405","240","175","232","255","100","234","215","255"
NA,"Martinica","115","0","15","0","10","25","15","15","10","0","5","15","5"
NA,"Panamá","9553","683","748","735","1115","807","752","977","578","555","782","1015","806"
NA,"Puerto  Rico","37832","2095","3141","2338","3582","3515","4196","4080","2971","2047","2114","4561","3192"
NA,"San Martin","1115","65","65","40","100","125","135","135","125","70","40","100","115"
NA,"Trinidad y Tobago","1671","80","80","95","350","270","140","75","100","80","110","211","80"
NA,"Virgenes Americanas, Islas","35","0","0","0","5","5","0","5","10","0","5","0","5"
NA,"Otros","5246","255","260","255","865","390","460","561","480","365","515","395","445"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","198586","15886","14259","13558","17182","19821","17117","18262","17988","13958","18514","15753","16288"
NA,"Argentina","25166","2762","1861","1903","2274","4064","2516","2210","1312","1283","1836","1547","1598"
NA,"Bolivia","960","80","50","80","20","75","130","80","80","60","75","90","140"
NA,"Brasil","11251","1180","1012","1002","895","868","687","869","818","828","1190","830","1072"
NA,"Chile","25482","1699","2045","835","1585","3299","2526","2048","3718","1907","3035","1527","1258"
NA,"Colombia","26985","2145","1815","2308","2733","2558","2386","2456","1990","1522","2527","2035","2510"
NA,"Ecuador","5065","361","459","535","530","435","379","418","329","285","482","447","405"
NA,"Perú","5981","467","728","550","455","608","424","560","449","400","533","402","405"
NA,"Uruguay","3725","250","225","145","260","405","420","293","414","405","492","216","200"
NA,"Venezuela","92616","6887","5984","6125","8370","7379","7509","9178","8753","7138","8189","8504","8600"
NA,"Otros","1355","55","80","75","60","130","140","150","125","130","155","155","100"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","13968","1548","925","1090","1045","1245","990","1370","1035","1055","1129","1331","1205"
NA,"China","3044","271","125","255","185","245","220","363","305","325","254","281","215"
NA,"Corea del Sur","2178","255","170","135","195","225","235","283","110","100","140","165","165"
NA,"India","2008","226","160","170","115","200","105","202","155","95","160","190","230"
NA,"Israel","1376","150","65","105","145","140","95","141","115","65","125","110","120"
NA,"Japón","1466","160","120","140","85","105","75","131","100","145","135","105","165"
NA,"Taiwan","600","35","15","110","65","55","40","80","50","30","40","50","30"
NA,"Otros","3296","451","270","175","255","275","220","170","200","295","275","430","280"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","206662","19743","22068","17310","19219","13941","15358","18314","17243","11605","16186","16005","19670"
NA,"Alemania","21442","1442","2005","1993","2175","1645","2238","1251","1412","1402","2588","1758","1533"
NA,"Austria","1296","95","90","75","65","95","90","161","110","60","140","155","160"
NA,"Bélgica","5209","346","360","475","380","305","360","752","593","405","427","306","500"
NA,"Bulgaria","465","80","30","35","30","60","20","10","25","45","30","75","25"
NA,"Dinamarca","705","120","125","55","50","30","35","80","25","15","30","65","75"
NA,"Escocia","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"España","60833","5069","5881","4817","5262","4472","5222","5165","6097","4049","4174","5173","5452"
NA,"Finlandia","425","90","45","40","20","30","25","5","10","20","55","35","50"
NA,"Francia","49553","4863","8104","4006","5422","2657","2680","4517","4242","1727","4070","2799","4466"
NA,"Grecia","650","80","85","75","45","60","30","45","65","35","10","60","60"
NA,"Holanda","12660","904","614","1036","1270","862","727","2018","952","755","1174","1060","1288"
NA,"Hungría","300","50","25","15","20","20","5","25","30","60","25","20","5"
NA,"Inglaterra","5233","443","400","485","520","455","349","488","414","305","397","472","505"
NA,"Irlanda","330","40","40","35","40","30","30","20","20","15","15","25","20"
NA,"Italia","29357","4078","2754","2518","1985","1745","2257","2295","2373","1682","1866","2325","3479"
NA,"Luxemburgo","75","0","0","5","15","10","5","20","0","5","0","5","10"
NA,"Noruega","635","110","70","70","30","25","65","45","20","10","30","75","85"
NA,"Polonia","1515","115","90","200","140","135","190","75","60","105","150","170","85"
NA,"Portugal","3243","367","215","280","400","360","190","206","225","300","265","245","190"
NA,"República Checa","915","95","75","80","120","75","75","50","50","65","65","70","95"
NA,"Rumania","480","40","20","65","30","60","45","15","35","25","40","50","55"
NA,"Rusia","3104","331","270","310","320","180","215","176","140","135","185","412","430"
NA,"Suecia","935","100","95","75","70","45","70","105","45","30","50","60","190"
NA,"Suiza","4635","448","470","355","495","340","265","690","210","155","260","250","697"
NA,"Ucrania","1667","387","120","135","205","100","85","40","50","85","80","225","155"
NA,"Otros","1000","50","85","75","110","145","85","60","40","115","60","115","60"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","2270","190","105","160","205","200","180","280","190","170","195","180","215"
NA,"Australia","1040","115","50","85","80","100","70","115","75","75","105","70","100"
NA,"Otros","1230","75","55","75","125","100","110","165","115","95","90","110","115"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","485258","62295","59294","63386","46223","27983","32805","39351","33893","19238","24910","28480","47400"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","12553","1334","581","685","802","710","821","1719","2036","925","945","859","1136"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","11106","1207","498","600","701","583","681","1583","1874","790","792","725","1072"
NA,"EXTRANJEROS","1447","127","83","85","101","127","140","136","162","135","153","134","64"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","472705","60961","58713","62701","45421","27273","31984","37632","31857","18313","23965","27621","46264"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","23623","1610","1235","1351","1855","1194","2260","4300","2638","1034","1183","1210","3753"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","449082","59351","57478","61350","43566","26079","29724","33332","29219","17279","22782","26411","42511"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","294656","38930","38805","42576","29966","15219","19813","21721","18652","8478","13680","17318","29498"
NA,"Canadá","170472","28324","27438","29809","18274","7137","6667","6367","7148","3598","6122","9513","20075"
NA,"Estados Unidos","124009","10606","11367","12752","11672","8072","13121","15339","11499","4870","7553","7770","9388"
NA,"México","175","0","0","15","20","10","25","15","5","10","5","35","35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","3683","55","245","165","370","103","80","855","1200","60","110","220","220"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","493","10","20","60","55","28","45","25","65","45","35","40","65"
NA,"Costa Rica","30","0","5","5","0","5","0","5","0","0","5","5","0"
NA,"Cuba","15","0","0","0","0","0","0","0","0","0","0","5","10"
NA,"Curazao","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"El Salvador","85","10","10","5","15","0","0","10","5","5","5","10","10"
NA,"Guadalupe","5","0","0","0","0","0","0","5","0","0","0","0","0"
NA,"Guatemala","10","0","0","0","5","5","0","0","0","0","0","0","0"
NA,"Haití","149","10","15","15","20","9","5","35","5","5","5","5","20"
NA,"Honduras","35","5","0","15","0","10","0","0","0","0","0","5","0"
NA,"Jamaica","323","0","20","40","20","18","15","30","5","0","35","85","55"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","10","0","0","0","0","0","0","0","0","0","0","5","5"
NA,"Puerto  Rico","245","0","0","0","0","0","0","245","0","0","0","0","0"
NA,"San Martin","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Trinidad y Tobago","1974","5","145","15","170","14","5","435","1095","0","10","45","35"
NA,"Virgenes Americanas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","309","15","30","10","85","14","10","65","25","5","15","15","20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","1103","35","65","80","85","48","155","150","80","45","65","180","115"
NA,"Argentina","205","5","5","20","15","0","40","50","15","5","10","30","10"
NA,"Bolivia","20","0","0","0","0","0","5","5","0","0","0","0","10"
NA,"Brasil","158","10","15","15","20","18","30","20","5","5","5","0","15"
NA,"Chile","85","0","10","10","5","10","0","10","15","5","0","5","15"
NA,"Colombia","130","5","10","0","5","0","15","5","15","0","20","25","30"
NA,"Ecuador","135","15","5","10","0","10","20","25","25","0","0","20","5"
NA,"Perú","60","0","0","15","10","0","15","0","0","5","0","10","5"
NA,"Uruguay","20","0","0","0","5","0","0","5","0","0","5","5","0"
NA,"Venezuela","60","0","5","5","10","0","15","0","0","5","0","15","5"
NA,"Otros","230","0","15","5","15","10","15","30","5","20","25","70","20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","1754","130","120","180","135","119","90","125","60","45","85","325","340"
NA,"China","253","30","15","15","15","33","5","5","15","5","0","15","100"
NA,"Corea del Sur","90","15","10","5","5","0","15","5","0","5","0","5","25"
NA,"India","325","30","10","45","30","0","10","10","5","10","0","100","75"
NA,"Israel","165","10","25","5","15","15","10","35","15","5","15","5","10"
NA,"Japón","65","10","0","5","5","10","0","10","0","0","15","5","5"
NA,"Taiwan","60","5","0","15","0","0","0","0","5","0","0","15","20"
NA,"Otros","796","30","60","90","65","61","50","60","20","20","55","180","105"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","146736","20106","18068","18269","12905","10510","9491","10396","9192","8606","8777","8243","12173"
NA,"Alemania","60182","6470","6401","6584","5947","5880","4820","3830","4365","4377","4522","3305","3681"
NA,"Austria","1447","180","105","205","70","217","65","295","60","30","30","75","115"
NA,"Bélgica","596","35","10","65","80","46","50","165","55","30","20","15","25"
NA,"Bulgaria","160","45","15","30","20","0","10","5","10","0","5","15","5"
NA,"Dinamarca","1210","360","280","300","125","5","5","25","5","0","10","25","70"
NA,"Escocia","35","0","0","0","5","0","0","0","0","0","0","10","20"
NA,"España","268","0","20","75","15","23","20","20","20","15","15","15","30"
NA,"Finlandia","4475","1069","1110","920","10","5","15","10","0","0","0","25","1311"
NA,"Francia","6073","1428","1130","1045","873","92","60","775","450","50","35","50","85"
NA,"Grecia","75","35","10","10","10","0","0","0","5","0","0","5","0"
NA,"Holanda","5131","684","525","540","485","466","414","670","480","398","374","45","50"
NA,"Hungría","140","30","20","25","20","0","0","5","10","10","0","0","20"
NA,"Inglaterra","30015","2601","2379","2378","2778","2154","2425","3006","2403","2557","2450","2512","2372"
NA,"Irlanda","124","20","5","10","10","19","10","10","0","5","5","0","30"
NA,"Italia","1594","175","180","145","150","74","115","125","185","55","65","120","205"
NA,"Luxemburgo","10","0","0","5","0","0","0","0","5","0","0","0","0"
NA,"Noruega","824","95","405","135","15","14","50","45","0","5","25","25","10"
NA,"Polonia","4618","1437","1155","1190","175","96","95","60","30","105","40","125","110"
NA,"Portugal","264","10","35","35","20","14","10","25","25","0","20","20","50"
NA,"República Checa","671","95","100","110","85","41","55","5","10","25","30","65","50"
NA,"Rumania","233","15","15","30","15","23","10","20","0","10","5","55","35"
NA,"Rusia","12172","1244","960","1229","1202","1027","957","805","914","819","971","1012","1032"
NA,"Suecia","12719","3648","2878","2808","360","24","70","85","5","20","10","399","2412"
NA,"Suiza","1876","145","200","170","220","156","110","305","80","50","90","135","215"
NA,"Ucrania","547","90","20","65","50","42","30","40","30","15","20","65","80"
NA,"Otros","1277","195","110","160","165","92","95","65","45","30","35","125","160"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1150","95","175","80","105","80","95","85","35","45","65","125","165"
NA,"Australia","790","75","165","65","60","55","65","45","20","25","50","25","140"
NA,"Otros","360","20","10","15","45","25","30","40","15","20","15","100","25"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","3659285","322618","314317","349074","339142","291189","324441","385513","311853","177562","227614","270433","345529"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","15797","1402","589","775","973","821","908","1767","1866","1427","1350","1564","2355"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","15501","1353","574","754","954","819","902","1755","1803","1390","1341","1525","2331"
NA,"EXTRANJEROS","296","49","15","21","19","2","6","12","63","37","9","39","24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","3643488","321216","313728","348299","338169","290368","323533","383746","309987","176135","226264","268869","343174"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","22777","1444","817","1004","1174","1332","1812","2657","2654","1558","1538","1419","5368"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","3620711","319772","312911","347295","336995","289036","321721","381089","307333","174577","224726","267450","337806"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2005825","182182","196118","230081","203490","161508","186474","214385","158811","63616","93866","130750","184544"
NA,"Canadá","565745","74561","71736","81670","62816","29894","27480","30993","30095","16926","23870","47061","68643"
NA,"Estados Unidos","1428270","106648","124092","147696","139838","130964","157772","181390","127211","45890","69096","82762","114911"
NA,"México","11810","973","290","715","836","650","1222","2002","1505","800","900","927","990"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
