"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","5118100","678169","641168","714085","637263","574462","636105","660763","576085",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","454064","79971","36191","41116","52984","46730","48962","69415","78695",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","423582","74346","33528","37834","49316","43323","45745","65358","74132",NA,NA,NA,NA
NA,"EXTRANJEROS","30482","5625","2663","3282","3668","3407","3217","4057","4563",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","4664036","598198","604977","672969","584279","527732","587143","591348","497390",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","707570","75566","69656","77369","79956","81389","101712","120786","101136",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","3956466","522632","535321","595600","504323","446343","485431","470562","396254",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2344629","308863","338936","397708","303572","261306","295312","254482","184450",NA,NA,NA,NA
NA,"Canadá","646889","126503","124662","131579","95233","46211","36792","45493","40416",NA,NA,NA,NA
NA,"Estados Unidos","1660290","178634","210177","261513","203185","210175","254169","203194","139243",NA,NA,NA,NA
NA,"México","37450","3726","4097","4616","5154","4920","4351","5795","4791",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","193330","14676","14532","18932","18311","24341","38412","38655","25471",NA,NA,NA,NA
NA,"Aruba","376","75","25","51","29","43","49","43","61",NA,NA,NA,NA
NA,"Caicos y Turcas, Islas","964","100","80","86","145","117","117","160","159",NA,NA,NA,NA
NA,"Costa Rica","8054","970","860","951","1200","1013","997","1180","883",NA,NA,NA,NA
NA,"Cuba","34292","2000","1920","3168","2554","3633","7505","7948","5564",NA,NA,NA,NA
NA,"Curazao","614","174","68","78","29","50","93","80","42",NA,NA,NA,NA
NA,"El Salvador","4731","366","513","499","612","584","548","804","805",NA,NA,NA,NA
NA,"Guadalupe","765","0","4","16","16","33","41","374","281",NA,NA,NA,NA
NA,"Guatemala","6751","571","700","943","981","868","913","938","837",NA,NA,NA,NA
NA,"Haití","20179","2531","2192","2490","2460","2377","2450","2735","2944",NA,NA,NA,NA
NA,"Honduras","3370","300","374","474","549","414","326","529","404",NA,NA,NA,NA
NA,"Jamaica","4534","363","401","743","490","890","503","535","609",NA,NA,NA,NA
NA,"Martinica","96","4","4","16","12","12","12","36","0",NA,NA,NA,NA
NA,"Panamá","10851","1407","1229","1693","1052","1459","1666","1088","1257",NA,NA,NA,NA
NA,"Puerto  Rico","87195","4893","5428","6542","7064","11760","21766","19747","9995",NA,NA,NA,NA
NA,"San Martin","686","69","34","156","37","60","104","149","77",NA,NA,NA,NA
NA,"Trinidad y Tobago","3748","128","200","235","299","330","581","1351","624",NA,NA,NA,NA
NA,"Virgenes Americanas, Islas","40","0","0","13","5","0","5","2","15",NA,NA,NA,NA
NA,"Otros","6084","725","500","778","777","698","736","956","914",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","498939","64474","57515","56284","60812","70776","60492","64862","63724",NA,NA,NA,NA
NA,"Argentina","133826","19280","16209","15970","16153","19747","16127","16180","14160",NA,NA,NA,NA
