"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,"Bolivia","8980","1650","468","654","697","1140","1726","1671","974",NA,NA,NA,NA
NA,"Brasil","74846","10762","8821","11725","10037","10136","7588","8726","7051",NA,NA,NA,NA
NA,"Chile","80591","9620","12363","6376","7973","12805","9990","11723","9741",NA,NA,NA,NA
NA,"Colombia","74317","10944","6370","6839","9351","8735","11722","9125","11231",NA,NA,NA,NA
NA,"Ecuador","12135","678","1511","1381","1109","1375","1243","2036","2802",NA,NA,NA,NA
NA,"Perú","29153","2757","3516","3540","3253","5380","2812","4263","3632",NA,NA,NA,NA
NA,"Uruguay","17861","1573","1431","1797","3185","2780","2705","2006","2384",NA,NA,NA,NA
NA,"Venezuela","61028","6137","6070","7307","8324","7454","6052","8575","11109",NA,NA,NA,NA
NA,"Otros","6202","1073","756","695","730","1224","527","557","640",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","24443","2772","2515","4740","3114","2727","2490","2795","3290",NA,NA,NA,NA
NA,"China","6244","594","605","1515","660","672","591","659","948",NA,NA,NA,NA
NA,"Corea del Sur","2084","305","189","366","294","262","230","251","187",NA,NA,NA,NA
NA,"India","3893","254","311","717","637","500","486","378","610",NA,NA,NA,NA
NA,"Israel","2574","326","302","315","416","274","230","344","367",NA,NA,NA,NA
NA,"Japón","1482","194","212","268","162","133","241","183","89",NA,NA,NA,NA
NA,"Taiwan","406","25","59","103","32","49","40","41","57",NA,NA,NA,NA
NA,"Otros","7760","1074","837","1456","913","837","672","939","1032",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","890921","131490","121243","117288","117915","86622","88310","109311","118742",NA,NA,NA,NA
NA,"Alemania","128075","18470","16975","20609","19186","14271","12888","12909","12767",NA,NA,NA,NA
NA,"Austria","8226","2014","1325","1516","907","604","339","895","626",NA,NA,NA,NA
NA,"Bélgica","22222","3317","2508","2499","3236","1919","2802","3551","2390",NA,NA,NA,NA
NA,"Bulgaria","1763","420","409","300","137","249","92","81","75",NA,NA,NA,NA
NA,"Dinamarca","3097","707","1093","705","194","66","117","166","49",NA,NA,NA,NA
NA,"Escocia","339","0","1","140","17","15","22","136","8",NA,NA,NA,NA
NA,"España","114995","10090","10881","10451","12433","10598","16235","19954","24353",NA,NA,NA,NA
NA,"Finlandia","2924","1132","1010","574","35","68","35","42","28",NA,NA,NA,NA
NA,"Francia","165477","25523","29392","23687","23744","13742","11558","17632","20199",NA,NA,NA,NA
NA,"Grecia","712","116","155","100","88","52","52","103","46",NA,NA,NA,NA
NA,"Holanda","21556","2690","2453","2054","3049","2527","2274","3309","3200",NA,NA,NA,NA
NA,"Hungría","3691","1257","628","420","413","258","331","237","147",NA,NA,NA,NA
NA,"Inglaterra","108628","10500","9118","9560","13309","16626","15005","17352","17158",NA,NA,NA,NA
NA,"Irlanda","973","77","123","141","152","134","43","141","162",NA,NA,NA,NA
NA,"Italia","63347","9614","8338","9450","8753","4400","5310","6535","10947",NA,NA,NA,NA
NA,"Luxemburgo","609","47","77","97","137","25","18","71","137",NA,NA,NA,NA
NA,"Noruega","890","158","109","145","67","39","107","203","62",NA,NA,NA,NA
NA,"Polonia","25702","6743","5490","3466","2093","1679","1824","2404","2003",NA,NA,NA,NA
NA,"Portugal","28400","1182","966","1578","4421","3359","5287","5383","6224",NA,NA,NA,NA
NA,"República Checa","4918","887","831","1030","490","471","347","587","275",NA,NA,NA,NA
NA,"Rumania","5764","975","829","900","845","855","275","446","639",NA,NA,NA,NA
NA,"Rusia","130424","25062","19931","20233","18013","10502","10241","12449","13993",NA,NA,NA,NA
NA,"Suecia","5511","1814","1762","1472","65","88","53","138","119",NA,NA,NA,NA
NA,"Suiza","22049","3850","3430","2542","3451","2273","2164","3033","1306",NA,NA,NA,NA
NA,"Ucrania","14960","3973","2519","2405","2011","1183","555","788","1526",NA,NA,NA,NA
NA,"Otros","5669","872","890","1214","669","619","336","766","303",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","4204","357","580","648","599","571","415","457","577",NA,NA,NA,NA
NA,"Australia","1324","153","150","190","181","231","115","136","168",NA,NA,NA,NA
NA,"Otros","2880","204","430","458","418","340","300","321","409",NA,NA,NA,NA
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1312827","164019","141474","156557","160152","156148","169195","188357","176925",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","312252","54413","25627","29608","36385","33299","33910","46320","52690",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","287661","49759","23461","26892","33453","30524","31396","43112","49064",NA,NA,NA,NA
NA,"EXTRANJEROS","24591","4654","2166","2716","2932","2775","2514","3208","3626",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1000575","109606","115847","126949","123767","122849","135285","142037","124235",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","350035","37573","34785","39621","41350","43077","50227","55540","47862",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","650540","72033","81062","87328","82417","79772","85058","86497","76373",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","314916","30890","38780","45290","38307","38670","45486","44140","33353",NA,NA,NA,NA
NA,"Canadá","8609","1580","1783","2259","1367","506","388","408","318",NA,NA,NA,NA
NA,"Estados Unidos","289584","27342","34986","40776","34907","36063","43205","41439","30866",NA,NA,NA,NA
NA,"México","16723","1968","2011","2255","2033","2101","1893","2293","2169",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","80385","9678","8221","10125","9498","10086","11931","10712","10134",NA,NA,NA,NA
NA,"Aruba","284","56","12","36","16","36","36","36","56",NA,NA,NA,NA
NA,"Caicos y Turcas, Islas","224","32","16","20","32","40","24","32","28",NA,NA,NA,NA
NA,"Costa Rica","6189","693","685","821","878","755","718","899","740",NA,NA,NA,NA
NA,"Cuba","14157","1753","1577","1835","1627","1904","2018","1749","1694",NA,NA,NA,NA
NA,"Curazao","585","173","64","76","16","48","92","76","40",NA,NA,NA,NA
NA,"El Salvador","2302","177","306","288","392","220","244","260","415",NA,NA,NA,NA
NA,"Guadalupe","164","0","4","16","8","20","40","44","32",NA,NA,NA,NA
NA,"Guatemala","4248","402","554","604","597","474","594","608","415",NA,NA,NA,NA
NA,"Haití","7341","1222","725","770","834","847","779","1062","1102",NA,NA,NA,NA
NA,"Honduras","2080","222","277","372","324","237","184","264","200",NA,NA,NA,NA
NA,"Jamaica","2202","197","250","356","252","289","256","264","338",NA,NA,NA,NA
NA,"Martinica","76","4","4","16","12","12","12","16","0",NA,NA,NA,NA
NA,"Panamá","5709","830","648","925","633","627","702","628","716",NA,NA,NA,NA
NA,"Puerto  Rico","29265","3242","2683","3278","3149","3921","5588","3906","3498",NA,NA,NA,NA
NA,"San Martin","613","65","32","96","36","60","100","148","76",NA,NA,NA,NA
NA,"Trinidad y Tobago","1092","68","68","120","176","160","160","124","216",NA,NA,NA,NA
NA,"Virgenes Americanas, Islas","12","0","0","8","4","0","0","0","0",NA,NA,NA,NA
NA,"Otros","3842","542","316","488","512","436","384","596","568",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","106628","11223","11278","12213","13252","16566","13011","13706","15379",NA,NA,NA,NA
NA,"Argentina","10996","1060","966","1098","983","2715","1833","1223","1118",NA,NA,NA,NA
NA,"Bolivia","704","88","92","104","60","80","96","112","72",NA,NA,NA,NA
NA,"Brasil","6183","975","861","994","670","706","726","648","603",NA,NA,NA,NA
NA,"Chile","10716","830","1393","828","1055","2528","1471","1361","1250",NA,NA,NA,NA
NA,"Colombia","18519","2206","1972","2175","2638","2415","2563","2317","2233",NA,NA,NA,NA
NA,"Ecuador","3134","286","346","448","320","447","412","468","407",NA,NA,NA,NA
NA,"Perú","3824","379","463","544","368","643","448","560","419",NA,NA,NA,NA
NA,"Uruguay","2240","173","192","196","288","663","316","184","228",NA,NA,NA,NA
NA,"Venezuela","49140","5162","4857","5670","6750","6157","5034","6701","8809",NA,NA,NA,NA
NA,"Otros","1172","64","136","156","120","212","112","132","240",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","11205","1625","1525","1974","1252","1186","1181","1272","1190",NA,NA,NA,NA
NA,"China","3909","387","467","830","420","426","409","508","462",NA,NA,NA,NA
NA,"Corea del Sur","1367","259","164","160","148","128","152","216","140",NA,NA,NA,NA
NA,"India","1538","137","213","260","212","212","220","160","124",NA,NA,NA,NA
NA,"Israel","909","141","148","168","96","92","84","96","84",NA,NA,NA,NA
NA,"Japón","929","145","116","152","112","88","136","108","72",NA,NA,NA,NA
NA,"Taiwan","212","12","44","32","16","24","20","24","40",NA,NA,NA,NA
NA,"Otros","2341","544","373","372","248","216","160","160","268",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","136022","18445","21090","17494","19944","13144","13261","16499","16145",NA,NA,NA,NA
NA,"Alemania","12190","1520","1729","1755","1991","1634","1203","1465","893",NA,NA,NA,NA
NA,"Austria","1041","108","245","168","60","104","108","164","84",NA,NA,NA,NA
NA,"Bélgica","2594","327","435","332","308","248","372","336","236",NA,NA,NA,NA
NA,"Bulgaria","208","40","28","28","32","24","28","12","16",NA,NA,NA,NA
NA,"Dinamarca","476","104","84","72","56","32","28","68","32",NA,NA,NA,NA
NA,"Escocia","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
NA,"España","38665","4481","4727","4046","5310","4271","5210","5131","5489",NA,NA,NA,NA
NA,"Finlandia","248","68","48","36","12","32","16","24","12",NA,NA,NA,NA
NA,"Francia","31611","4108","7303","4091","4973","2362","2086","3478","3210",NA,NA,NA,NA
NA,"Grecia","384","76","60","40","56","36","40","48","28",NA,NA,NA,NA
NA,"Holanda","4622","552","551","544","633","471","452","972","447",NA,NA,NA,NA
NA,"Hungría","152","12","28","28","20","16","24","20","4",NA,NA,NA,NA
NA,"Inglaterra","3844","387","507","488","520","675","336","484","447",NA,NA,NA,NA
NA,"Irlanda","248","44","32","44","28","48","8","16","28",NA,NA,NA,NA
NA,"Italia","22796","3580","2571","2627","2726","1955","2294","2753","4290",NA,NA,NA,NA
NA,"Luxemburgo","80","4","4","8","20","4","0","16","24",NA,NA,NA,NA
NA,"Noruega","489","113","52","96","52","20","60","68","28",NA,NA,NA,NA
NA,"Polonia","1210","210","184","208","132","172","100","108","96",NA,NA,NA,NA
NA,"Portugal","2006","165","213","240","480","264","228","216","200",NA,NA,NA,NA
NA,"República Checa","576","88","116","108","72","52","72","44","24",NA,NA,NA,NA
NA,"Rumania","308","60","52","52","36","28","8","36","36",NA,NA,NA,NA
NA,"Rusia","6781","1565","1226","1719","1559","244","184","160","124",NA,NA,NA,NA
NA,"Suecia","452","76","92","92","28","56","28","48","32",NA,NA,NA,NA
NA,"Suiza","3143","467","515","308","512","188","232","716","205",NA,NA,NA,NA
NA,"Ucrania","1170","222","156","196","172","148","112","64","100",NA,NA,NA,NA
NA,"Otros","728","68","132","168","156","60","32","52","60",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1384","172","168","232","164","120","188","168","172",NA,NA,NA,NA
NA,"Australia","628","92","68","120","88","56","64","60","80",NA,NA,NA,NA
NA,"Otros","756","80","100","112","76","64","124","108","92",NA,NA,NA,NA
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","317716","55525","54003","56803","41021","24900","28680","31810","24974",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","6470","1103","484","598","673","521","647","1145","1299",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","5612","1002","400","514","590","412","526","1000","1168",NA,NA,NA,NA
NA,"EXTRANJEROS","858","101","84","84","83","109","121","145","131",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","311246","54422","53519","56205","40348","24379","28033","30665","23675",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","15752","1654","1115","1339","1569","1244","2313","4054","2464",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","295494","52768","52404","54866","38779","23135","25720","26611","21211",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","235723","43043","42990","46057","32635","16841","19952","19613","14592",NA,NA,NA,NA
NA,"Canadá","132464","30533","29528","30185","19907","6503","4277","5946","5585",NA,NA,NA,NA
NA,"Estados Unidos","103071","12495","13441","15850","12716","10290","15650","13634","8995",NA,NA,NA,NA
NA,"México","188","15","21","22","12","48","25","33","12",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","3095","147","152","257","135","443","654","926","381",NA,NA,NA,NA
NA,"Aruba","5","0","1","0","0","3","0","1","0",NA,NA,NA,NA
NA,"Caicos y Turcas, Islas","232","19","19","23","38","17","37","34","45",NA,NA,NA,NA
NA,"Costa Rica","15","0","3","2","1","4","2","3","0",NA,NA,NA,NA
NA,"Cuba","8","0","1","4","0","2","1","0","0",NA,NA,NA,NA
NA,"Curazao","5","1","2","0","0","0","0","1","1",NA,NA,NA,NA
NA,"El Salvador","147","2","12","27","5","46","14","33","8",NA,NA,NA,NA
NA,"Guadalupe","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
NA,"Guatemala","43","2","5","3","3","14","9","5","2",NA,NA,NA,NA
NA,"Haití","359","29","17","57","27","57","57","56","59",NA,NA,NA,NA
NA,"Honduras","21","1","0","0","2","4","6","6","2",NA,NA,NA,NA
NA,"Jamaica","448","42","36","70","19","180","6","77","18",NA,NA,NA,NA
NA,"Martinica","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA
NA,"Panamá","32","4","7","2","2","8","6","3","0",NA,NA,NA,NA
NA,"Puerto  Rico","166","0","0","0","2","0","79","23","62",NA,NA,NA,NA
NA,"San Martin","2","1","0","0","0","0","0","0","1",NA,NA,NA,NA
NA,"Trinidad y Tobago","1283","22","21","30","6","47","340","654","163",NA,NA,NA,NA
NA,"Virgenes Americanas, Islas","3","0","0","1","1","0","1","0","0",NA,NA,NA,NA
NA,"Otros","326","24","28","38","29","61","96","30","20",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","3460","261","227","283","106","387","280","691","1225",NA,NA,NA,NA
NA,"Argentina","278","43","27","24","14","62","40","58","10",NA,NA,NA,NA
NA,"Bolivia","21","1","3","6","1","1","3","3","3",NA,NA,NA,NA
NA,"Brasil","178","17","18","25","13","32","20","36","17",NA,NA,NA,NA
NA,"Chile","347","12","63","29","13","35","52","124","19",NA,NA,NA,NA
NA,"Colombia","317","32","24","38","16","77","39","64","27",NA,NA,NA,NA
NA,"Ecuador","1482","12","20","16","14","34","29","291","1066",NA,NA,NA,NA
NA,"Perú","182","23","23","18","7","31","31","24","25",NA,NA,NA,NA
NA,"Uruguay","76","28","7","2","0","13","2","13","11",NA,NA,NA,NA
NA,"Venezuela","117","7","18","9","7","12","20","27","17",NA,NA,NA,NA
NA,"Otros","462","86","24","116","21","90","44","51","30",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","2320","375","345","450","232","390","173","271","84",NA,NA,NA,NA
NA,"China","385","107","33","72","33","82","34","11","13",NA,NA,NA,NA
NA,"Corea del Sur","138","30","15","19","34","18","8","11","3",NA,NA,NA,NA
NA,"India","389","59","38","111","34","48","40","46","13",NA,NA,NA,NA
NA,"Israel","148","30","16","21","25","25","9","14","8",NA,NA,NA,NA
NA,"Japón","42","6","1","7","6","11","3","4","4",NA,NA,NA,NA
NA,"Taiwan","17","3","3","0","1","5","1","4","0",NA,NA,NA,NA
NA,"Otros","1201","140","239","220","99","201","78","181","43",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","50147","8863","8596","7715","5598","4957","4589","4997","4832",NA,NA,NA,NA
NA,"Alemania","19155","2524","2287","2627","2466","2402","2205","2231","2413",NA,NA,NA,NA
NA,"Austria","315","53","57","39","14","27","13","99","13",NA,NA,NA,NA
NA,"Bélgica","2937","458","346","427","316","222","320","532","316",NA,NA,NA,NA
NA,"Bulgaria","118","27","24","25","15","11","6","5","5",NA,NA,NA,NA
NA,"Dinamarca","953","269","408","251","13","2","3","6","1",NA,NA,NA,NA
NA,"Escocia","2","0","0","0","1","1","0","0","0",NA,NA,NA,NA
NA,"España","227","39","31","30","30","29","15","31","22",NA,NA,NA,NA
NA,"Finlandia","2423","1012","899","493","3","8","2","2","4",NA,NA,NA,NA
NA,"Francia","1342","228","376","204","121","83","71","148","111",NA,NA,NA,NA
NA,"Grecia","49","9","9","5","8","10","6","1","1",NA,NA,NA,NA
NA,"Holanda","682","77","134","106","68","72","72","75","78",NA,NA,NA,NA
NA,"Hungría","97","36","26","11","5","11","7","1","0",NA,NA,NA,NA
NA,"Inglaterra","1178","164","215","189","105","166","112","112","115",NA,NA,NA,NA
NA,"Irlanda","83","12","25","15","10","12","1","6","2",NA,NA,NA,NA
NA,"Italia","893","149","197","118","73","80","117","70","89",NA,NA,NA,NA
NA,"Luxemburgo","33","2","13","1","0","5","2","3","7",NA,NA,NA,NA
NA,"Noruega","169","32","32","34","7","16","20","27","1",NA,NA,NA,NA
NA,"Polonia","3560","863","729","832","796","123","74","79","64",NA,NA,NA,NA
NA,"Portugal","334","71","81","46","37","49","9","31","10",NA,NA,NA,NA
NA,"República Checa","426","48","86","121","38","47","20","39","27",NA,NA,NA,NA
NA,"Rumania","186","23","36","22","21","48","17","13","6",NA,NA,NA,NA
NA,"Rusia","10695","1526","1475","958","1334","1300","1333","1292","1477",NA,NA,NA,NA
NA,"Suecia","2618","912","781","872","7","9","13","14","10",NA,NA,NA,NA
NA,"Suiza","445","52","43","37","36","65","72","113","27",NA,NA,NA,NA
NA,"Ucrania","504","123","114","98","36","65","22","23","23",NA,NA,NA,NA
NA,"Otros","723","154","172","154","38","94","57","44","10",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","749","79","94","104","73","117","72","113","97",NA,NA,NA,NA
NA,"Australia","243","31","37","22","34","10","27","34","48",NA,NA,NA,NA
NA,"Otros","506","48","57","82","39","107","45","79","49",NA,NA,NA,NA
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","2687131","353654","353708","403617","346584","314927","333926","316603","264112",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","27644","4808","1496","2099","3558","2040","2423","5565","5655",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","26796","4687","1460","1994","3484","1958","2325","5367","5521",NA,NA,NA,NA
NA,"EXTRANJEROS","848","121","36","105","74","82","98","198","134",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","2659487","348846","352212","401518","343026","312887","331503","311038","258457",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","27593","2002","1283","1773","2044","2146","3551","7902","6892",NA,NA,NA,NA
