"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","6151003","536234","506832","572955","502854","459574","522490","624581","528599","373727","417838","471606","633713"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","551144","53252","28052","35315","40892","42590","42075","56258","62793","44245","47358","48354","49960"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","511790","48788","26313","32728","37718","39554","39256","52068","58083","41073","43805","44877","47527"
NA,"EXTRANJEROS","39354","4464","1739","2587","3174","3036","2819","4190","4710","3172","3553","3477","2433"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","5599859","482982","478780","537640","461962","416984","480415","568323","465806","329482","370480","423252","583753"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","766903","47131","47961","61120","51029","59019","71982","90727","69715","48937","53000","52670","113612"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","4832956","435851","430819","476520","410933","357965","408433","477596","396091","280545","317480","370582","470141"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2780488","244478","263046","314271","258254","211431","255527","284260","219695","129197","146676","188913","264740"
NA,"Canadá","745860","105764","106563","115217","84369","35903","30760","37687","35717","24297","29645","54868","85070"
NA,"Estados Unidos","2001909","136562","154606","196477","171563","173424","221641","242929","180929","101745","114293","131138","176602"
NA,"México","32719","2152","1877","2577","2322","2104","3126","3644","3049","3155","2738","2907","3068"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","208132","10301","11107","13322","11438","14447","28583","38692","19249","14242","15679","14571","16501"
NA,"Aruba","479","24","14","15","50","17","16","61","46","16","40","55","125"
NA,"Caicos y Turcas, Islas","1236","70","76","80","115","70","88","197","100","115","95","85","145"
NA,"Costa Rica","12320","805","809","1441","1085","848","954","1222","793","848","1068","1068","1379"
NA,"Cuba","18610","1011","1012","1388","1205","1618","1880","2241","1695","1365","1811","1755","1629"
NA,"Curazao","1907","160","134","100","160","75","65","220","75","96","85","175","562"
NA,"El Salvador","5270","381","350","468","490","509","414","521","593","486","349","347","362"
NA,"Guadalupe","1215","0","0","15","15","30","5","75","1060","0","5","0","10"
NA,"Guatemala","7351","395","530","822","700","731","711","685","569","522","508","664","514"
NA,"Haití","14196","843","948","1133","1029","1228","1269","1641","1423","992","1268","1119","1303"
