"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,"Honduras","3322","218","250","399","240","277","213","344","317","263","265","191","345"
NA,"Jamaica","2786","180","159","186","202","210","297","490","289","235","232","155","151"
NA,"Martinica","70","0","0","0","0","5","0","25","20","0","15","0","5"
NA,"Panamá","14818","1224","1066","793","842","1011","1129","734","1039","1009","2312","2170","1489"
NA,"Puerto  Rico","115084","4568","5178","5843","4533","7130","20850","28749","9891","7680","6889","6129","7644"
NA,"San Martin","1179","35","69","90","105","135","85","110","85","45","105","95","220"
NA,"Trinidad y Tobago","2891","105","113","163","230","186","87","756","698","136","202","95","120"
NA,"Virgenes Americanas, Islas","44","0","0","0","0","0","10","0","5","0","10","0","19"
NA,"Otros","5354","282","399","386","437","367","510","621","551","434","420","468","479"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","691103","56745","51161","46094","47784","57505","50320","59418","59941","62660","66856","62268","70351"
NA,"Argentina","133888","13428","13041","12583","12704","14613","11007","10386","8683","10109","8801","9829","8704"
NA,"Bolivia","11397","1289","723","184","480","661","1051","1798","575","1235","935","1310","1156"
NA,"Brasil","140348","15118","9483","9081","10984","13531","10739","14648","11688","12385","10634","8699","13358"
NA,"Chile","87766","8600","11098","4139","5245","9457","7105","9353","6967","7540","8728","5162","4372"
NA,"Colombia","78735","5518","3385","3915","3671","5083","8388","6617","8408","6844","7278","8331","11297"
NA,"Ecuador","13371","441","1784","1019","796","968","842","1978","1527","907","1594","703","812"
NA,"Perú","44626","2827","3373","2624","2051","4175","3322","3969","4261","3885","5401","4241","4497"
NA,"Uruguay","9384","425","515","516","470","751","1007","1110","915","1212","1097","801","565"
NA,"Venezuela","167176","8713","7166","11601","11128","7823","6654","9052","16542","18267","22128","22972","25130"
NA,"Otros","4412","386","593","432","255","443","205","507","375","276","260","220","460"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","14827","923","941","1425","1178","1184","1160","1813","1494","1023","1209","1283","1194"
NA,"China","2863","200","136","294","176","291","264","334","298","165","250","292","163"
NA,"Corea del Sur","1811","89","87","191","115","95","140","254","171","124","210","170","165"
NA,"India","1832","138","110","131","157","196","159","190","200","75","145","155","176"
NA,"Israel","1868","199","202","146","176","115","108","124","155","189","156","160","138"
NA,"Japón","1766","60","174","127","166","146","131","196","135","144","150","125","212"
NA,"Taiwan","1192","21","5","205","95","55","71","315","85","95","95","75","75"
NA,"Otros","3495","216","227","331","293","286","287","400","450","231","203","306","265"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","1134370","123006","104413","101150","91893","73137","72568","92938","95270","73140","86804","103214","116837"
NA,"Alemania","247613","24984","21537","25612","22397","16202","13336","12876","15992","16905","17620","31883","28269"
NA,"Austria","8562","1473","1952","985","463","482","240","670","215","204","230","645","1003"
NA,"Bélgica","37156","2685","2954","2673","3113","2364","2677","3950","3127","3612","3357","3565","3079"
NA,"Bulgaria","920","116","121","95","102","108","47","51","65","25","50","62","78"
NA,"Dinamarca","2660","554","695","333","107","50","60","206","40","40","85","125","365"
NA,"Escocia","227","4","3","0","0","5","0","155","5","15","35","0","5"
NA,"España","172245","11549","11775","11920","10656","11519","15602","19697","22421","14547","14168","13331","15060"
NA,"Finlandia","4273","1367","1051","110","22","35","20","26","15","40","42","70","1475"
NA,"Francia","227483","29819","28227","24520","25015","13394","9677","17463","16435","7552","15569","17691","22121"
NA,"Grecia","467","42","16","75","7","35","50","26","65","35","35","41","40"
NA,"Holanda","36277","2524","2270","2794","2321","3060","3419","4098","2993","2667","3699","3112","3320"
NA,"Hungría","1418","301","283","104","55","70","40","86","40","62","90","86","201"
NA,"Inglaterra","142083","11040","8516","10593","11950","12805","11709","14204","13136","12176","13169","11187","11598"
NA,"Irlanda","1315","103","143","101","82","131","158","205","75","52","165","45","55"
NA,"Italia","86680","11083","8502","8694","6980","4910","5205","6529","8819","4115","5825","7253","8765"
NA,"Luxemburgo","426","20","56","20","60","30","20","30","55","15","40","20","60"
NA,"Noruega","1305","305","163","145","22","25","75","151","75","67","65","65","147"
NA,"Polonia","13969","2431","2209","1557","521","526","445","707","394","272","462","2040","2405"
NA,"Portugal","25090","326","344","1022","1165","1798","3982","4279","5656","3196","1419","898","1005"
NA,"República Checa","5826","950","1001","726","643","226","145","220","106","164","331","542","772"
NA,"Rumania","1272","115","102","93","74","77","89","74","166","78","182","118","104"
NA,"Rusia","71572","13140","7197","5124","3203","3035","3513","3692","3565","5433","7644","7406","8620"
NA,"Suecia","13445","4390","2742","1659","105","42","70","235","92","40","75","160","3835"
NA,"Suiza","23625","2412","1908","1697","2071","1455","1358","2621","1165","1378","1729","2287","3544"
NA,"Ucrania","6120","1104","472","290","500","606","448","516","343","328","495","349","669"
NA,"Otros","2341","169","174","208","259","147","183","171","210","122","223","233","242"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","4036","398","151","258","386","261","275","475","442","283","256","333","518"
NA,"Australia","2638","317","97","158","291","75","166","282","281","150","155","256","410"
NA,"Otros","1398","81","54","100","95","186","109","193","161","133","101","77","108"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1732670","128959","112854","132438","126621","133810","149036","181727","162979","126541","140461","144651","192593"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","421709","40762","21084","26867","31482","32800","32458","43086","47504","34555","35794","37039","38278"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","387631","36912","19652","24630","28746","30161","30031","39363","43380","31820","32728","34006","36202"
NA,"EXTRANJEROS","34078","3850","1432","2237","2736","2639","2427","3723","4124","2735","3066","3033","2076"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1310961","88197","91770","105571","95139","101010","116578","138641","115475","91986","104667","107612","154315"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","401977","25675","25563","32589","27496","30978","38385","45280","34431","25865","27122","27288","61305"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","908984","62522","66207","72982","67643","70032","78193","93361","81044","66121","77545","80324","93010"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","358216","22460","27217","32012","27739","28858","40938","46228","31528","19663","22492","25507","33574"
NA,"Canadá","7260","585","802","1065","570","663","507","596","591","322","497","565","497"
NA,"Estados Unidos","335533","20900","25508","29772","26017","27102","39026","43723","29515","18015","20878","23450","31627"
NA,"México","15423","975","907","1175","1152","1093","1405","1909","1422","1326","1117","1492","1450"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","87409","5763","5999","6885","6329","7064","7050","8703","7367","7146","7366","7600","10137"
NA,"Aruba","426","15","6","0","40","15","15","60","45","15","35","55","125"
NA,"Caicos y Turcas, Islas","202","10","17","0","30","10","10","45","20","10","30","5","15"
NA,"Costa Rica","9725","630","610","1050","845","693","687","855","632","748","893","898","1184"
NA,"Cuba","14092","885","826","1140","996","1183","1036","1139","1278","1044","1554","1591","1420"
NA,"Curazao","1891","160","124","100","160","70","65","220","75","95","85","175","562"
NA,"El Salvador","3305","245","160","260","300","320","275","288","317","401","239","250","250"
NA,"Guadalupe","105","0","0","15","15","25","5","25","5","0","5","0","10"
NA,"Guatemala","5104","225","345","465","505","562","508","463","452","351","333","554","341"
NA,"Haití","5653","360","425","550","485","451","473","691","561","263","437","335","622"
NA,"Honduras","2056","140","129","180","155","190","105","205","234","143","175","140","260"
NA,"Jamaica","1448","55","86","90","80","105","175","313","135","129","110","85","85"
NA,"Martinica","70","0","0","0","0","5","0","25","20","0","15","0","5"
NA,"Panamá","7415","570","771","415","665","567","583","557","656","664","636","658","673"
NA,"Puerto  Rico","30222","2213","2204","2295","1543","2448","2653","3092","2317","2884","2264","2389","3920"
NA,"San Martin","1119","35","69","85","80","120","75","110","85","40","105","95","220"
NA,"Trinidad y Tobago","1038","65","83","50","105","105","50","140","110","80","115","60","75"
NA,"Virgenes Americanas, Islas","20","0","0","0","0","0","0","0","0","0","10","0","10"
NA,"Otros","3518","155","144","190","325","195","335","475","425","279","325","310","360"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","241180","16061","14378","16301","15549","17247","14604","17231","22071","24438","27778","27352","28170"
NA,"Argentina","22201","1687","1497","1825","1473","3055","1906","1919","1565","1786","1981","1946","1561"
NA,"Bolivia","1390","210","115","65","65","80","90","135","60","95","135","225","115"
NA,"Brasil","12351","2823","1931","1080","866","1014","727","771","701","569","686","500","683"
NA,"Chile","20555","1511","1936","750","1041","2920","1742","2709","1584","2335","2032","957","1038"
NA,"Colombia","24684","1647","1227","1510","1297","1831","2699","2172","2061","2187","2578","2584","2891"
NA,"Ecuador","4927","235","393","430","415","361","493","432","383","391","537","405","452"
NA,"Perú","7435","540","489","570","470","617","692","771","676","579","646","667","718"
NA,"Uruguay","2381","160","139","110","60","205","185","259","269","352","312","155","175"
NA,"Venezuela","144307","7153","6602","9876","9777","7104","5985","7988","14632","16054","18831","19838","20467"
NA,"Otros","949","95","49","85","85","60","85","75","140","90","40","75","70"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","10802","645","664","1095","910","765","860","1345","1004","796","898","990","830"
NA,"China","2421","150","121","255","150","255","245","308","214","139","219","230","135"
NA,"Corea del Sur","1711","80","80","165","115","95","120","248","145","124","209","170","160"
NA,"India","1225","100","70","80","95","90","105","140","145","55","125","110","110"
NA,"Israel","1413","150","129","120","170","85","95","65","120","139","100","145","95"
NA,"Japón","1437","50","153","110","140","130","125","145","120","114","115","105","130"
NA,"Taiwan","824","15","0","175","40","25","60","249","80","80","30","35","35"
NA,"Otros","1771","100","111","190","200","85","110","190","180","145","100","195","165"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","209682","17488","17864","16569","16941","16028","14596","19649","18874","13948","18866","18710","20149"
NA,"Alemania","24238","1376","1019","1790","1923","3085","1573","1626","2251","2592","3363","2030","1610"
NA,"Austria","1418","100","139","95","70","90","90","170","140","139","100","175","110"
NA,"Bélgica","4898","335","309","430","385","290","390","611","442","347","322","489","548"
NA,"Bulgaria","287","20","27","20","45","15","15","25","20","20","30","25","25"
NA,"Dinamarca","611","55","66","50","50","40","30","85","30","35","45","70","55"
NA,"Escocia","10","0","0","0","0","0","0","0","0","10","0","0","0"
NA,"España","61275","4636","5402","5132","4972","4823","5512","5025","6102","4261","4767","4902","5741"
NA,"Finlandia","441","75","21","30","20","25","20","25","15","30","25","55","100"
NA,"Francia","54141","5692","6407","4567","4943","3791","2285","5393","4513","2245","4508","4744","5053"
NA,"Grecia","351","30","6","65","0","30","35","20","40","25","35","30","35"
NA,"Holanda","11783","485","796","790","675","893","857","2003","746","990","1306","997","1245"
NA,"Hungría","242","35","27","15","20","10","10","10","20","25","20","20","30"
NA,"Inglaterra","4161","230","328","360","380","275","300","462","285","292","367","420","462"
NA,"Irlanda","340","30","30","25","15","40","35","40","20","25","35","25","20"
NA,"Italia","29361","3104","2137","2010","1803","1581","2489","2574","3141","1832","2394","2943","3353"
NA,"Luxemburgo","123","0","3","10","10","5","15","15","25","15","0","5","20"
NA,"Noruega","664","90","59","115","20","15","45","70","35","40","25","50","100"
NA,"Polonia","1244","85","79","75","135","115","95","100","80","100","125","160","95"
NA,"Portugal","2255","105","104","185","215","245","215","180","264","154","223","185","180"
NA,"República Checa","866","40","37","30","50","100","35","50","30","94","120","210","70"
NA,"Rumania","544","55","14","25","45","30","35","20","60","55","100","70","35"
NA,"Rusia","2357","230","159","200","255","160","155","95","155","179","229","295","245"
NA,"Suecia","742","75","87","55","50","15","30","45","60","20","45","120","140"
NA,"Suiza","4987","465","460","330","565","225","205","825","205","243","437","350","677"
NA,"Ucrania","1227","85","107","95","130","90","60","70","65","85","105","190","145"
NA,"Otros","1116","55","41","70","165","40","65","110","130","95","140","150","55"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1695","105","85","120","175","70","145","205","200","130","145","165","150"
NA,"Australia","928","60","48","70","145","40","105","95","80","60","70","95","60"
NA,"Otros","767","45","37","50","30","30","40","110","120","70","75","70","90"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","392622","50432","46672","51338","39808","22714","23823","28082","24809","16740","18170","26431","43603"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","7565","601","389","472","458","503","546","789","830","645","569","631","1132"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","6313","517","331","389","374","400","427","677","667","520","431","536","1044"
NA,"EXTRANJEROS","1252","84","58","83","84","103","119","112","163","125","138","95","88"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","385057","49831","46283","50866","39350","22211","23277","27293","23979","16095","17601","25800","42471"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","14457","826","720","1023","787","904","1297","2058","1307","752","694","755","3334"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","370600","49005","45563","49843","38563","21307","21980","25235","22672","15343","16907","25045","39137"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","252350","32414","31483","36482","29785","14226","15544","19047","15330","9229","10424","13997","24389"
NA,"Canadá","127711","20371","20114","21783","16575","4424","4586","5870","5051","3363","4058","6652","14864"
NA,"Estados Unidos","124514","12038","11344","14684","13210","9792","10948","13162","10269","5861","6356","7330","9520"
NA,"México","125","5","25","15","0","10","10","15","10","5","10","15","5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","765","35","50","50","60","50","90","30","60","115","60","65","100"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","390","15","20","40","40","20","20","10","30","55","20","40","80"
NA,"Costa Rica","10","0","5","0","0","0","0","0","5","0","0","0","0"
NA,"Cuba","5","5","0","0","0","0","0","0","0","0","0","0","0"
NA,"Curazao","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"El Salvador","35","0","5","0","0","5","0","5","5","15","0","0","0"
NA,"Guadalupe","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Guatemala","5","0","0","0","0","0","5","0","0","0","0","0","0"
NA,"Haití","15","5","5","0","0","0","0","0","0","0","0","5","0"
NA,"Honduras","20","0","0","0","0","5","0","0","0","0","5","5","5"
NA,"Jamaica","50","0","0","0","0","0","5","5","5","25","5","5","0"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","5","0","0","0","0","0","5","0","0","0","0","0","0"
NA,"Puerto  Rico","40","5","0","5","5","10","10","5","0","0","0","0","0"
NA,"San Martin","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Trinidad y Tobago","35","0","0","5","15","0","5","0","5","5","0","0","0"
NA,"Virgenes Americanas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","155","5","15","0","0","10","40","5","10","15","30","10","15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","580","35","75","30","10","110","25","45","70","50","50","25","55"
NA,"Argentina","100","0","15","5","0","15","10","20","20","5","0","0","10"
NA,"Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Brasil","80","5","10","5","5","5","0","0","10","5","5","5","25"
NA,"Chile","40","0","5","5","0","5","0","5","5","15","0","0","0"
NA,"Colombia","105","10","5","0","5","35","10","15","10","0","5","5","5"
NA,"Ecuador","50","5","5","0","0","20","0","5","10","0","0","0","5"
NA,"Perú","65","5","5","10","0","20","0","0","5","5","5","5","5"
NA,"Uruguay","5","0","0","0","0","0","0","0","5","0","0","0","0"
NA,"Venezuela","20","5","5","5","0","0","0","0","0","0","0","5","0"
NA,"Otros","115","5","25","0","0","10","5","0","5","20","35","5","5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","720","50","95","85","10","150","40","40","25","30","75","45","75"
NA,"China","80","10","0","10","0","25","5","5","0","10","5","0","10"
NA,"Corea del Sur","45","5","5","15","0","0","15","0","0","0","0","0","5"
NA,"India","100","0","5","5","5","25","5","0","5","5","10","15","20"
NA,"Israel","130","10","40","10","0","15","0","10","5","5","10","10","15"
NA,"Japón","60","5","10","5","0","10","5","10","0","0","10","0","5"
NA,"Taiwan","5","0","5","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","300","20","30","40","5","75","10","15","15","10","40","20","20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","115147","16221","13845","13126","8658","6721","6196","5993","7147","5874","6278","10823","14265"
NA,"Alemania","46901","6312","4640","5876","3985","2418","2843","1817","2543","2719","2541","6483","4724"
NA,"Austria","900","90","200","45","30","130","25","50","50","35","60","85","100"
NA,"Bélgica","515","30","35","50","55","30","65","70","25","30","35","45","45"
NA,"Bulgaria","75","0","20","25","0","5","0","0","0","5","10","5","5"
NA,"Dinamarca","1014","225","425","155","0","0","0","0","0","5","0","10","194"
NA,"Escocia","10","0","0","0","0","0","0","0","0","0","10","0","0"
NA,"España","290","10","20","35","5","35","20","45","20","20","25","15","40"
NA,"Finlandia","3731","1281","1020","60","0","10","0","0","0","10","10","0","1340"
NA,"Francia","8569","1482","1460","1740","1308","205","50","430","896","35","70","45","848"
NA,"Grecia","35","5","10","5","0","0","0","0","0","0","0","10","5"
NA,"Holanda","6026","480","480","735","367","425","435","490","532","375","408","614","685"
NA,"Hungría","95","10","15","5","5","25","5","0","0","0","15","5","10"
NA,"Inglaterra","29620","2123","2200","2455","2558","2888","2298","2266","2761","2320","2534","2576","2641"
NA,"Irlanda","145","5","30","20","0","10","25","5","5","5","35","5","0"
NA,"Italia","1642","240","200","120","45","75","75","100","90","75","80","170","372"
NA,"Luxemburgo","15","0","0","0","0","0","0","0","5","0","0","0","10"
NA,"Noruega","515","210","70","25","0","10","10","60","20","20","35","15","40"
NA,"Polonia","954","110","90","65","15","80","25","60","15","25","55","115","299"
NA,"Portugal","135","30","5","40","5","10","0","0","10","5","10","10","10"
NA,"República Checa","1348","165","190","195","115","35","10","10","25","5","55","245","298"
NA,"Rumania","90","10","15","5","0","5","15","0","15","0","20","0","5"
NA,"Rusia","900","135","110","70","20","80","55","35","35","40","45","125","150"
NA,"Suecia","8535","2998","2235","1185","30","0","15","140","5","20","10","15","1882"
NA,"Suiza","1992","185","225","105","40","110","95","400","65","90","140","150","387"
NA,"Ucrania","305","25","45","10","0","45","80","10","15","20","15","15","25"
NA,"Otros","790","60","105","100","75","90","50","5","15","15","60","65","150"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1038","250","15","70","40","50","85","80","40","45","20","90","253"
NA,"Australia","888","240","10","55","35","20","40","80","30","40","15","85","238"
NA,"Otros","150","10","5","15","5","30","45","0","10","5","5","5","15"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","3206874","291426","285144","316633","276205","244367","277160","320295","261901","184533","203435","241200","304575"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","6758","518","265","539","508","536","545","986","880","365","377","368","871"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","6375","483","239","504","458","489","516","933","856","351","355","353","838"
NA,"EXTRANJEROS","383","35","26","35","50","47","29","53","24","14","22","15","33"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","3200116","290908","284879","316094","275697","243831","276615","319309","261021","184168","203058","240832","303704"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","12367","714","439","523","390","729","879","1852","1282","783","626","848","3302"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","3187749","290194","284440","315571","275307","243102","275736","317457","259739","183385","202432","239984","300402"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","1926259","169365","182025","220380","181353","153171","175195","187529","150762","90716","100790","133428","181545"
NA,"Canadá","553643","75560","76356","83071","62107","28766","23701","28565","27572","19314","23440","43130","62061"
NA,"Estados Unidos","1357788","92852","104960","136169","118346","123580","149949","157473","121750","69747","75880","89033","118049"
NA,"México","14828","953","709","1140","900","825","1545","1491","1440","1655","1470","1265","1435"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","83448","2117","2084","2700","2335","4337","17837","26049","8879","4370","5320","4355","3065"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
