"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,"TOTAL","ENERO","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","6558982","584755","551270","609423","523033","483797","559997","679388","570591","404988","444554","486226","660960"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","599635","64778","32180","44061","38236","46459","43407","59664","68271","45925","51861","50679","54114"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","555695","59242","29375","40600","35228","42841","40152","55358","63421","42706","48695","47018","51059"
NA,"EXTRANJEROS","43940","5536","2805","3461","3008","3618","3255","4306","4850","3219","3166","3661","3055"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","5959347","519977","519090","565362","484797","437338","516590","619724","502320","359063","392693","435547","606846"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","825237","54748","55966","66627","60922","62601","76361","94862","73964","51793","53553","55063","118777"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","5134110","465229","463124","498735","423875","374737","440229","524862","428356","307270","339140","380484","488069"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2890669","266342","280344","328275","258647","215625","264149","316273","225311","131799","147858","188974","267072"
NA,"Canadá","768486","115805","108694","113939","77500","37824","32512","43106","37344","26764","31419","53551","90028"
NA,"Estados Unidos","2085186","147828","169192","211193","178464","175029","228078","269392","184748","101929","112956","132383","173994"
NA,"México","36997","2709","2458","3143","2683","2772","3559","3775","3219","3106","3483","3040","3050"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","240652","11524","14170","14668","14447","19465","32839","37494","26442","15395","17984","17288","18936"
NA,"Aruba","402","15","16","20","31","30","45","20","45","30","35","45","70"
NA,"Caicos y Turcas, Islas","1223","85","140","95","99","75","115","150","110","80","74","70","130"
NA,"Costa Rica","13139","1053","934","1007","811","928","1066","1385","983","1304","1147","1131","1390"
NA,"Cuba","24742","1552","1584","1804","2086","2016","3136","1966","2533","1789","1878","2197","2201"
NA,"Curazao","1824","65","129","80","140","120","85","125","145","100","475","120","240"
NA,"El Salvador","4985","331","505","365","415","443","386","477","401","419","352","415","476"
NA,"Guadalupe","620","0","5","0","0","0","10","280","305","0","0","5","15"
NA,"Guatemala","7334","536","601","535","455","632","701","691","618","759","662","638","506"
NA,"Haití","13394","957","1175","1053","1222","958","1145","1122","1316","1088","1058","1072","1228"
NA,"Honduras","3702","250","289","335","285","344","262","250","330","429","403","305","220"
NA,"Jamaica","2792","154","242","206","227","225","345","249","281","239","278","175","171"
NA,"Martinica","25","0","5","5","10","0","0","0","0","0","5","0","0"
NA,"Panamá","32567","1077","1677","2048","1270","2736","2394","4348","3776","1596","3054","4192","4399"
