"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,"Puerto  Rico","121131","4729","5944","6101","6680","9892","22249","24779","12942","6778","7918","6151","6968"
NA,"San Martin","1012","75","35","52","90","90","70","70","115","55","85","70","205"
NA,"Trinidad y Tobago","5804","143","452","555","188","514","190","1036","2040","160","116","205","205"
NA,"Virgenes Americanas","71","0","20","5","0","7","5","18","16","0","0","0","0"
NA,"Otros","5885","502","417","402","438","455","635","528","486","569","444","497","512"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","721132","66478","56221","51262","55409","58859","57672","62497","61940","64483","65392","60575","60344"
NA,"Argentina","137642","16967","12006","8992","11851","9684","11063","10606","9267","12541","11693","10118","12854"
NA,"Bolivia","11164","875","376","590","680","641","1431","882","595","1295","1307","840","1652"
NA,"Brasil","125984","12562","9309","7071","12176","13961","10714","11469","8946","9750","9483","10893","9650"
NA,"Chile","84601","7515","8377","4038","5290","7801","7860","8269","7473","8254","9139","5254","5331"
NA,"Colombia","100697","8310","5568","6904","6593","7710","8746","8366","9208","8613","8763","12226","9690"
NA,"Ecuador","12882","548","1340","906","962","848","886","1409","1647","857","1516","1026","937"
NA,"Perú","50919","2971","3422","3859","3208","4941","4099","6128","4724","3403","5699","4909","3556"
NA,"Uruguay","19969","1402","1164","1877","1565","1721","2393","1540","1461","2225","1968","1480","1173"
NA,"Venezuela","170713","14747","14198","16500","12704","10822","9855","13131","18194","16965","15424","13134","15039"
NA,"Otros","6561","581","461","525","380","730","625","697","425","580","400","695","462"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","16208","1299","1615","1322","1202","1113","1332","1271","1307","1382","1315","1533","1517"
NA,"China","3091","267","287","246","239","197","207","343","284","215","193","376","237"
NA,"Corea del Sur","2423","201","183","190","146","206","191","256","248","220","215","197","170"
NA,"India","2139","122","239","162","170","150","192","152","180","230","165","205","172"
NA,"Israel","2188","173","230","135","166","101","195","156","130","258","238","195","211"
NA,"Japón","2003","110","252","145","130","115","150","100","130","160","165","230","316"
NA,"Taiwan","756","55","41","120","30","65","140","25","65","65","60","60","30"
NA,"Otros","3608","371","383","324","321","279","257","239","270","234","279","270","381"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","1261577","119309","110439","102931","93771","79458","83945","107045","112976","93890","106311","111632","139870"
NA,"Alemania","259133","25842","25545","26912","23753","17723","14864","15684","16995","17930","20690","26167","27028"
NA,"Austria","7933","1212","1034","485","410","530","365","838","405","295","440","888","1031"
NA,"Bélgica","41688","2988","3041","3167","2295","3085","3593","4732","3956","3081","3695","3531","4524"
NA,"Bulgaria","1126","157","161","52","67","66","47","71","107","65","65","195","73"
NA,"Dinamarca","2389","659","525","210","85","50","55","150","55","50","125","275","150"
NA,"Escocia","25","0","0","0","0","0","5","0","0","0","10","0","10"
NA,"España","169760","11167","12195","10471","10330","11885","14832","21130","20255","13243","14174","13964","16114"
NA,"Finlandia","5016","1327","1147","732","20","31","25","35","10","20","30","90","1549"
NA,"Francia","232024","26382","26818","22164","23802","11903","10509","19647","19671","11565","18062","15804","25697"
NA,"Grecia","630","60","86","40","42","45","35","55","71","30","45","49","72"
NA,"Holanda","42697","2645","2806","2689","3332","3540","3415","5272","3201","3478","3811","4304","4204"
NA,"Hungría","1826","393","235","115","67","65","140","85","65","145","100","265","151"
NA,"Inglaterra","165111","11573","10756","12281","11812","14032","15670","15033","16988","15514","15183","12537","13732"
NA,"Irlanda","1248","175","121","134","136","70","165","60","71","75","120","65","56"
NA,"Italia","81729","11068","8740","7315","6966","4135","5400","6178","8057","3895","4935","5974","9066"
NA,"Luxemburgo","500","50","65","35","85","25","50","55","50","10","25","30","20"
NA,"Noruega","1109","165","116","75","35","40","140","170","26","55","55","90","142"
NA,"Polonia","26365","3870","2874","1884","1068","865","1463","2778","2292","2957","895","2475","2944"
NA,"Portugal","25922","669","390","1554","1263","2193","3597","3026","4622","3054","2457","1530","1567"
NA,"República Checa","5424","1305","1379","674","520","181","170","100","92","175","162","465","201"
NA,"Rumania","1127","154","119","65","61","76","79","85","89","91","116","75","117"
NA,"Rusia","136249","9065","5707","6303","5204","6544","6712","8345","13653","15805","16774","19086","23051"
NA,"Suecia","16652","4860","3743","2987","77","80","145","76","30","40","101","1046","3467"
NA,"Suiza","28150","1892","2187","2061","1797","1738","1997","3113","1802","1885","3612","1899","4167"
NA,"Ucrania","5163","1327","316","263","419","376","336","162","209","182","411","672","490"
NA,"Otros","2581","304","333","263","125","180","136","165","204","250","218","156","247"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","3872","277","335","277","399","217","292","282","380","321","280","482","330"
NA,"Australia","2207","203","230","188","172","126","105","131","122","165","145","380","240"
NA,"Otros","1665","74","105","89","227","91","187","151","258","156","135","102","90"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENERO","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1807986","146702","129474","148955","129794","136695","155448","186561","170811","128786","138935","138668","197157"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","451377","48873","24770","34121","29378","35303","32229","44616","50500","34554","38353","37623","41057"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","413277","44070","22347","31026","26756","32219","29455","40849","46292","31818","35712","34356","38377"
NA,"EXTRANJEROS","38100","4803","2423","3095","2622","3084","2774","3767","4208","2736","2641","3267","2680"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1356609","97829","104704","114834","100416","101392","123219","141945","120311","94232","100582","101045","156100"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","425333","28128","28527","34198","30456","32461","38560","47281","36423","27179","27003","28634","66483"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","931276","69701","76177","80636","69960","68931","84659","94664","83888","67053","73579","72411","89617"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","370859","24723","28635","33533","28523","28427","41187","44909","32647","22083","23598","26087","36507"
NA,"Canadá","6151","611","698","693","480","590","360","470","270","345","505","467","662"
NA,"Estados Unidos","342484","22472","26549","30910","26449","26070","38734","42049","30531","19963","21088","23819","33850"
NA,"México","22224","1640","1388","1930","1594","1767","2093","2390","1846","1775","2005","1801","1995"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","102840","6591","8199","7912","8081","8239","9299","10075","8702","7755","9668","8700","9619"
NA,"Aruba","375","15","15","10","30","25","45","15","45","25","35","45","70"
NA,"Caicos y Turcas, Islas","100","10","25","5","5","0","5","20","15","0","5","5","5"
NA,"Costa Rica","10614","828","699","907","670","819","800","1095","758","1090","955","978","1015"
NA,"Cuba","20353","1374","1412","1576","1844","1682","1872","1615","1746","1585","1680","1992","1975"
NA,"Curazao","1824","65","129","80","140","120","85","125","145","100","475","120","240"
NA,"El Salvador","3186","225","287","275","245","320","245","270","205","315","210","285","304"
NA,"Guadalupe","35","0","5","0","0","0","10","0","0","0","0","5","15"
NA,"Guatemala","5394","406","446","394","340","465","525","465","467","510","520","502","354"
NA,"Haití","5468","340","416","359","495","404","410","520","476","430","520","417","681"
NA,"Honduras","2659","160","159","295","200","230","185","195","200","330","325","245","135"
NA,"Jamaica","1643","85","143","150","115","115","195","120","155","130","190","130","115"
NA,"Martinica","25","0","5","5","10","0","0","0","0","0","5","0","0"
NA,"Panamá","8215","773","787","793","525","575","620","630","743","625","700","717","727"
NA,"Puerto  Rico","36368","1885","3075","2483","2967","2959","3707","4425","3207","2035","3608","2689","3328"
NA,"San Martin","985","75","35","45","85","90","70","70","110","50","85","65","205"
NA,"Trinidad y Tobago","1447","45","262","235","90","140","85","115","85","95","65","115","115"
NA,"Virgenes Americanas","60","0","20","5","0","5","5","15","10","0","0","0","0"
NA,"Otros","4089","305","279","295","320","290","435","380","335","435","290","390","335"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","229470","19248","18979","21309","16859","15871","15818","17645","22551","21980","20800","18664","19746"
NA,"Argentina","19288","2083","1624","1526","1335","1887","1634","1445","1003","1425","1605","1886","1835"
NA,"Bolivia","935","40","55","35","65","50","95","95","160","75","110","60","95"
NA,"Brasil","8789","1023","818","758","645","774","680","640","637","610","725","723","756"
NA,"Chile","13629","636","813","548","605","1617","1110","1065","1340","1280","1870","1400","1345"
NA,"Colombia","26418","1880","1873","1970","1684","1977","2592","2250","2254","2530","2287","2523","2598"
NA,"Ecuador","6030","401","446","440","400","495","380","630","1014","355","495","471","503"
NA,"Perú","7127","517","555","598","460","655","590","640","472","705","700","623","612"
NA,"Uruguay","2164","160","199","190","120","245","250","140","160","285","165","125","125"
NA,"Venezuela","144195","12488","12516","15129","11475","8121","8392","10655","15411","14625","12768","10768","11847"
NA,"Otros","895","20","80","115","70","50","95","85","100","90","75","85","30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","11290","845","1179","980","925","775","980","940","815","905","800","1186","960"
NA,"China","2319","185","223","165","215","135","170","300","205","170","100","301","150"
NA,"Corea del Sur","2293","190","178","190","140","195","185","245","190","220","215","190","155"
NA,"India","1263","70","178","85","140","115","150","60","95","85","95","120","70"
NA,"Israel","1399","105","154","100","110","60","160","120","75","115","110","165","125"
NA,"Japón","1542","85","177","130","95","90","100","85","105","130","105","205","235"
NA,"Taiwan","585","35","30","110","25","50","105","25","40","50","55","35","25"
NA,"Otros","1889","175","239","200","200","130","110","105","105","135","120","170","200"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","214707","18139","19045","16737","15282","15494","17165","20955","19033","14105","18543","17619","22590"
NA,"Alemania","20938","1289","1193","1556","1594","2006","1395","1580","1455","1985","2932","2098","1855"
NA,"Austria","1335","95","85","95","75","150","65","170","85","90","115","150","160"
NA,"Bélgica","5512","516","436","543","195","330","690","695","522","440","395","401","349"
NA,"Bulgaria","325","40","35","10","20","30","25","25","25","45","30","20","20"
NA,"Dinamarca","655","100","55","75","55","30","35","60","45","25","30","75","70"
NA,"Escocia","15","0","0","0","0","0","5","0","0","0","10","0","0"
NA,"España","67928","4895","5439","5549","4502","4880","5835","6565","6922","4760","6308","5333","6940"
NA,"Finlandia","440","95","40","50","15","25","20","30","0","15","15","35","100"
NA,"Francia","47785","4203","5860","3534","3987","3329","3302","4705","4337","2315","3878","3141","5194"
NA,"Grecia","460","40","75","30","35","35","15","45","55","30","30","25","45"
NA,"Holanda","15446","903","981","1267","1090","1367","1220","2535","863","1000","1195","1274","1751"
NA,"Hungría","330","30","50","30","15","10","25","15","25","30","30","30","40"
NA,"Inglaterra","4950","425","342","603","335","405","375","505","380","345","315","447","473"
NA,"Irlanda","340","40","40","30","35","35","25","15","10","10","30","35","35"
NA,"Italia","31425","3787","2828","1990","1744","1627","2818","2450","3579","2035","1965","2989","3613"
NA,"Luxemburgo","130","15","15","10","20","5","0","25","15","5","5","10","5"
NA,"Noruega","590","75","80","50","15","15","70","60","10","30","15","80","90"
NA,"Polonia","1265","110","75","100","135","115","85","95","50","145","95","155","105"
NA,"Portugal","3273","270","193","310","295","250","390","300","175","200","285","355","250"
NA,"República Checa","983","175","183","50","115","35","35","75","20","45","70","120","60"
NA,"Rumania","500","35","60","35","40","50","35","50","45","40","15","40","55"
NA,"Rusia","2496","220","198","215","295","260","125","160","120","175","250","195","283"
NA,"Suecia","815","150","70","65","60","45","70","55","15","30","30","85","140"
NA,"Suiza","4776","421","432","395","375","260","365","630","155","210","370","391","772"
NA,"Ucrania","1110","135","80","75","165","110","60","55","65","55","90","100","120"
NA,"Otros","885","75","200","70","70","90","80","55","60","45","40","35","65"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","2110","155","140","165","290","125","210","140","140","225","170","155","195"
NA,"Australia","1070","100","65","105","100","75","55","65","70","110","115","90","120"
NA,"Otros","1040","55","75","60","190","50","155","75","70","115","55","65","75"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENERO","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","438904","55617","54211","54662","39025","22511","26246","32804","28895","20046","23175","30468","51244"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","10492","858","503","745","562","627","744","1206","1507","937","826","857","1120"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","9011","744","416","650","485","488","602","1066","1360","790","665","730","1015"
NA,"EXTRANJEROS","1481","114","87","95","77","139","142","140","147","147","161","127","105"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","428412","54759","53708","53917","38463","21884","25502","31598","27388","19109","22349","29611","50124"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","21070","1148","1219","1653","1132","1077","1875","3215","2161","1182","1010","1088","4310"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","407342","53611","52489","52264","37331","20807","23627","28383","25227","17927","21339","28523","45814"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","259367","34405","34629","35672","25661","12623","16217","18810","16248","9666","11544","16217","27675"
NA,"Canadá","141995","24080","23100","22989","13920","5303","4649","6446","6555","3665","4632","8311","18345"
NA,"Estados Unidos","117247","10305","11519","12668","11736","7310","11563","12339","9688","5991","6897","7901","9330"
NA,"México","125","20","10","15","5","10","5","25","5","10","15","5","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","3133","75","215","350","84","215","290","585","874","110","115","55","165"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","514","20","40","50","54","20","65","45","55","50","25","15","75"
NA,"Costa Rica","10","0","0","0","0","0","0","5","0","0","0","0","5"
NA,"Cuba","10","0","0","5","0","0","0","0","0","0","5","0","0"
NA,"Curazao","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"El Salvador","40","0","0","0","5","5","5","10","0","0","15","0","0"
NA,"Guadalupe","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Guatemala","20","0","0","0","0","10","5","0","0","5","0","0","0"
NA,"Haití","140","5","5","10","10","5","35","10","25","15","5","5","10"
NA,"Honduras","20","0","0","0","0","10","0","5","0","0","5","0","0"
NA,"Jamaica","50","0","0","0","0","5","5","15","0","5","15","0","5"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","10","0","0","0","0","5","0","0","0","0","5","0","0"
NA,"Puerto  Rico","145","0","0","0","0","0","145","0","0","0","0","0","0"
NA,"San Martin","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Trinidad y Tobago","1919","15","160","270","10","130","15","480","784","15","5","25","10"
NA,"Virgenes Americanas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","255","35","10","15","5","25","15","15","10","20","35","10","60"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","895","90","40","95","50","65","75","135","50","105","105","40","45"
NA,"Argentina","140","10","10","15","0","15","10","35","0","20","5","5","15"
NA,"Bolivia","15","0","0","0","0","0","0","0","10","0","5","0","0"
NA,"Brasil","105","35","0","10","0","15","10","5","5","5","10","5","5"
NA,"Chile","55","0","5","5","0","10","10","5","5","0","10","0","5"
NA,"Colombia","160","5","10","30","5","15","30","30","0","15","10","0","10"
NA,"Ecuador","120","0","0","10","20","0","5","15","10","20","25","5","10"
NA,"Perú","65","10","0","10","10","0","0","20","0","10","0","5","0"
NA,"Uruguay","20","0","0","0","0","0","0","0","5","15","0","0","0"
NA,"Venezuela","70","10","5","10","0","5","5","5","10","0","15","5","0"
NA,"Otros","145","20","10","5","15","5","5","20","5","20","25","15","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","945","115","110","90","45","90","65","70","20","70","110","75","85"
NA,"China","170","35","10","15","0","15","15","10","0","5","35","20","10"
NA,"Corea del Sur","40","10","0","0","5","5","5","5","5","0","0","5","0"
NA,"India","120","10","10","5","10","5","15","5","0","15","0","25","20"
NA,"Israel","135","20","40","10","5","10","10","5","5","10","5","5","10"
NA,"Japón","75","5","25","5","0","10","0","5","0","5","15","0","5"
NA,"Taiwan","10","0","0","0","0","0","0","0","0","10","0","0","0"
NA,"Otros","395","35","25","55","25","45","20","40","10","25","55","20","40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","142432","18851","17360","15997","11466","7804","6960","8708","8025","7921","9450","12101","17789"
NA,"Alemania","60099","6008","6345","5937","5545","3562","3391","3479","4171","4228","4805","6519","6109"
NA,"Austria","1328","210","65","145","58","90","55","140","10","40","100","155","260"
NA,"Bélgica","585","60","55","115","20","45","30","75","10","40","30","30","75"
NA,"Bulgaria","115","0","10","5","5","15","5","15","15","0","5","15","25"
NA,"Dinamarca","1229","539","365","125","15","5","0","25","0","20","25","75","35"
NA,"Escocia","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"España","265","35","30","35","15","35","15","25","0","5","15","25","30"
NA,"Finlandia","4413","1222","1085","674","0","5","0","0","5","5","10","0","1407"
NA,"Francia","8595","1627","1939","1477","1683","70","20","610","395","25","60","35","654"
NA,"Grecia","80","15","0","10","5","0","20","0","0","0","15","15","0"
NA,"Holanda","6250","604","645","565","717","408","386","554","529","448","445","410","539"
NA,"Hungría","140","35","10","5","5","10","0","25","0","10","15","5","20"
NA,"Inglaterra","31384","2705","2333","2590","2567","2850","2448","3020","2415","2451","2920","2402","2683"
NA,"Irlanda","120","10","5","30","5","0","25","5","5","10","20","0","5"
NA,"Italia","1533","250","135","145","103","105","55","80","60","65","105","80","350"
NA,"Luxemburgo","20","0","0","5","0","0","5","5","0","5","0","0","0"
NA,"Noruega","430","75","30","25","15","25","65","85","10","25","25","10","40"
NA,"Polonia","5121","1047","820","619","53","55","25","40","20","80","65","1130","1167"
NA,"Portugal","200","25","20","25","25","10","10","10","5","5","25","20","20"
NA,"República Checa","1018","335","215","205","73","15","15","10","0","15","5","70","60"
NA,"Rumania","170","45","25","15","5","15","5","0","0","25","0","10","25"
NA,"Rusia","5521","530","510","714","307","194","250","170","335","284","415","570","1242"
NA,"Suecia","10516","3059","2468","2156","5","5","15","20","0","5","20","300","2463"
NA,"Suiza","1990","200","140","205","180","180","75","270","20","70","200","135","315"
NA,"Ucrania","380","75","25","30","15","20","10","15","10","20","45","20","95"
NA,"Otros","930","140","85","140","45","85","35","30","10","40","80","70","170"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","570","75","135","60","25","10","20","75","10","55","15","35","55"
NA,"Australia","405","70","115","45","20","10","0","40","5","25","10","15","50"
NA,"Otros","165","5","20","15","5","0","20","35","5","30","5","20","5"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENERO","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","3459392","304685","297533","327721","287178","265785","303392","364080","291189","208986","227583","259749","321511"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","10027","1139","501","829","661","1115","739","975","1156","581","614","436","1281"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","9500","1072","464","805","618","1054","697","952","1095","520","567","415","1241"
NA,"EXTRANJEROS","527","67","37","24","43","61","42","23","61","61","47","21","40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","3449365","303546","297032","326892","286517","264670","302653","363105","290033","208405","226969","259313","320230"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","17187","1259","953","1404","1125","1146","1892","1983","1637","752","881","635","3520"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","3432178","302287","296079","325488","285392","263524","300761","361122","288396","207653","226088","258678","316710"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","2011240","183330","191384","231094","184353","159204","183058","222075","154770","90997","101382","132808","176785"
NA,"Canadá","548119","78143","72963","79174","56618","29425","25228","31803","27145","21522","24423","40955","60720"
NA,"Estados Unidos","1450536","104332","117498","150915","126800","128974","156574","189172","126439","68310","75612","90763","115147"
NA,"México","12585","855","923","1005","935","805","1256","1100","1186","1165","1347","1090","918"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
