"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,"Puerto  Rico","46181","1703","1582","1274","1727","3351","10578","15054","2377","1143","1779","3191","2422"
NA,"San Martin","55","0","0","0","5","0","0","5","5","5","5","10","20"
NA,"Trinidad y Tobago","1773","75","252","112","84","158","244","206","180","116","98","157","91"
NA,"Virgenes Americanas, Islas","13","0","0","0","0","0","0","2","0","0","10","0","1"
NA,"Otros","5950","303","496","428","456","531","728","701","479","435","454","488","451"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","293816","27896","22356","18944","17981","23774","22474","29452","27812","22102","25802","25587","29636"
NA,"Argentina","71461","8499","6098","4716","4813","6822","5011","6514","5277","4572","6214","6797","6128"
NA,"Bolivia","5240","538","222","141","207","168","572","530","267","550","210","731","1104"
NA,"Brasil","38431","3415","2689","1747","2100","2115","1814","4555","2686","2664","3517","4679","6450"
NA,"Chile","41580","4677","5334","1376","2102","3329","3480","4298","3261","4066","3807","3469","2381"
NA,"Colombia","37084","3154","1486","2761","2011","2687","4640","3933","3536","2622","3547","2834","3873"
NA,"Ecuador","18655","812","1658","1285","1851","2514","984","2797","2807","810","1253","1039","845"
NA,"Perú","26376","1185","1667","1794","1940","3032","2448","2509","2832","1614","3053","2173","2129"
NA,"Uruguay","4812","354","386","459","185","365","620","713","433","373","313","320","291"
NA,"Venezuela","48326","5104","2709","4507","2636","2571","2768","3464","6547","4711","3733","3295","6281"
NA,"Otros","1851","158","107","158","136","171","137","139","166","120","155","250","154"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","16180","1420","1557","1315","1136","1576","1313","1121","1313","1064","1118","1445","1802"
NA,"China","1281","94","79","76","56","148","147","62","81","116","151","165","106"
NA,"Corea del Sur","2468","288","263","221","164","222","217","279","207","141","103","152","211"
NA,"India","2202","188","177","170","190","258","192","130","165","129","161","146","296"
NA,"Israel","2665","253","255","207","185","336","175","148","260","191","217","161","277"
NA,"Japón","3118","263","391","224","216","264","217","199","308","202","187","198","449"
NA,"Taiwan","628","93","63","64","45","52","51","36","45","66","32","20","61"
NA,"Otros","3818","241","329","353","280","296","314","267","247","219","267","603","402"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","1184269","124104","109587","110019","90668","81106","84517","103003","107448","78412","84474","97358","113573"
NA,"Alemania","181682","18209","15290","17989","13107","14496","11442","12947","13472","12262","15053","19312","18103"
NA,"Austria","10114","1675","1170","1643","752","537","703","432","303","198","545","1002","1154"
NA,"Bélgica","38158","3791","3142","2949","2861","2646","3415","3459","3245","3139","2880","3267","3364"
NA,"Bulgaria","929","173","51","54","97","66","41","42","28","70","81","105","121"
NA,"Dinamarca","2371","457","423","319","114","104","80","157","146","50","117","185","219"
NA,"Escocia","146","5","7","10","1","0","21","11","5","15","66","5","0"
NA,"España","189724","13624","14003","15361","12566","11069","18903","22055","26553","15935","12846","13788","13021"
NA,"Finlandia","4456","1673","1142","349","99","19","66","25","16","19","45","510","493"
NA,"Francia","244165","36535","33917","28912","25169","12184","9312","18551","16530","7690","12803","14505","28057"
NA,"Grecia","794","96","79","56","47","48","65","75","46","60","55","77","90"
NA,"Holanda","48246","3726","3461","3607","3247","4197","3560","5951","4175","3656","4243","3769","4654"
NA,"Hungría","975","167","158","115","45","60","81","11","45","50","55","100","88"
NA,"Inglaterra","169919","11073","11290","13331","11817","17304","17222","16836","16892","16578","14618","11929","11029"
NA,"Irlanda","2242","276","176","179","139","208","266","160","188","211","106","189","144"
NA,"Italia","100052","13776","10046","9421","6884","5479","6370","8292","10652","4760","6285","8016","10071"
NA,"Luxemburgo","406","32","45","49","20","60","6","36","40","15","25","33","45"
NA,"Noruega","1984","176","395","256","153","103","150","221","68","58","86","120","198"
NA,"Polonia","7980","723","532","781","523","632","728","253","291","492","683","1211","1131"
NA,"Portugal","38813","1554","1491","2653","3055","3972","4955","5475","6157","3934","1818","2198","1551"
NA,"República Checa","6366","1189","1144","1344","458","223","174","63","36","143","271","672","649"
NA,"Rumania","1515","115","99","115","152","105","111","82","93","112","117","178","236"
NA,"Rusia","79868","9211","6192","6014","5954","4119","3111","3916","5714","6185","7474","10673","11305"
NA,"Suecia","7949","2042","1981","908","143","168","116","155","113","83","212","165","1863"
NA,"Suiza","28209","2785","2671","2766","2582","1816","2181","2126","1161","1434","2200","2869","3618"
NA,"Ucrania","5531","500","247","381","400","329","187","158","195","202","391","1438","1103"
NA,"Otros","11675","521","435","457","283","1162","1251","1514","1284","1061","1399","1042","1266"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","5173","512","601","405","496","471","347","384","416","247","396","415","483"
NA,"Australia","2156","219","265","129","162","131","144","162","127","102","238","220","257"
NA,"Otros","3017","293","336","276","334","340","203","222","289","145","158","195","226"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE LAS AMERICAS, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","1467058","120357","103516","114583","106848","113056","133247","165872","136603","95736","108342","115204","153694"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","367930","38642","19278","23488","30130","28685","27821","36738","42791","28074","30349","30793","31141"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","324906","33172","16955","20772","26581","25271","24528","32619","37818","24734","26742","27477","28237"
NA,"EXTRANJEROS","43024","5470","2323","2716","3549","3414","3293","4119","4973","3340","3607","3316","2904"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","1099128","81715","84238","91095","76718","84371","105426","129134","93812","67662","77993","84411","122553"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","329273","19906","20946","26592","23003","26605","30895","39556","28121","20717","21334","22587","49011"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","769855","61809","63292","64503","53715","57766","74531","89578","65691","46945","56659","61824","73542"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","420364","30877","33811","38428","29911","31690","47174","56350","36629","22474","26059","29313","37648"
NA,"Canadá","11784","1983","1608","1049","813","853","797","781","726","519","536","896","1223"
NA,"Estados Unidos","392828","27583","30964","35964","27950","29647","44904","53972","34602","20827","24044","27053","35318"
NA,"México","15752","1311","1239","1415","1148","1190","1473","1597","1301","1128","1479","1364","1107"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","45298","3043","3097","3141","3284","3700","3883","4074","3889","3565","4436","4607","4579"
NA,"Aruba","45","0","0","5","15","10","0","5","0","0","0","5","5"
NA,"Caicos y Turcas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Costa Rica","6919","507","435","542","557","578","536","646","667","638","561","666","586"
NA,"Cuba","7081","602","509","517","577","567","666","641","641","608","586","511","656"
NA,"Curazao","105","5","0","10","5","0","5","15","0","10","40","10","5"
NA,"El Salvador","3783","266","225","241","256","387","376","335","385","285","416","386","225"
NA,"Guadalupe","10","0","0","0","0","0","0","0","0","0","0","5","5"
NA,"Guatemala","4950","311","345","482","341","477","396","400","420","345","461","536","436"
NA,"Haití","3864","422","420","261","246","276","301","300","400","275","236","321","406"
NA,"Honduras","2420","136","110","226","261","176","170","290","235","250","226","190","150"
NA,"Jamaica","1371","70","65","105","115","131","175","245","105","90","80","125","65"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","6569","442","598","341","501","607","546","536","535","524","722","636","581"
NA,"Puerto  Rico","2535","0","0","0","0","0","0","0","0","100","632","726","1077"
NA,"San Martin","40","0","0","0","5","0","0","5","5","0","0","5","20"
NA,"Trinidad y Tobago","1286","62","95","95","55","105","175","176","160","85","91","115","72"
NA,"Virgenes Americanas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","4320","220","295","316","350","386","537","480","336","355","385","370","290"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","116838","10197","9061","8354","7465","9434","9355","11071","9854","9811","11238","10662","10336"
NA,"Argentina","15089","1667","1399","1164","1143","1180","1152","1301","936","979","1343","1698","1127"
NA,"Bolivia","3846","367","190","110","140","141","416","405","165","474","170","511","757"
NA,"Brasil","8511","818","819","487","587","668","581","671","530","584","922","987","857"
NA,"Chile","17508","1928","1987","692","852","1466","1523","2117","991","1668","1749","1578","957"
NA,"Colombia","19139","1436","1094","1495","1213","1657","1824","1853","1602","1528","1995","1743","1699"
NA,"Ecuador","4603","311","360","361","281","557","376","400","345","449","451","341","371"
NA,"Perú","14793","889","1109","1044","1048","1421","1172","1396","1491","1074","1940","1187","1022"
NA,"Uruguay","2779","216","245","216","135","251","341","420","225","210","200","170","150"
NA,"Venezuela","29431","2435","1813","2675","1986","2013","1880","2443","3454","2770","2403","2257","3302"
NA,"Otros","1139","130","45","110","80","80","90","65","115","75","65","190","94"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","11401","1079","989","823","677","1190","972","811","1011","839","937","886","1187"
NA,"China","1136","70","70","70","35","131","135","55","75","115","145","140","95"
NA,"Corea del Sur","1768","236","185","151","95","156","160","210","140","95","75","120","145"
NA,"India","1491","120","120","90","115","196","150","80","115","85","130","100","190"
NA,"Israel","2145","211","175","140","116","291","146","120","230","160","206","135","215"
NA,"Japón","2384","211","254","161","170","201","171","136","265","179","170","165","301"
NA,"Taiwan","560","75","55","55","45","45","45","35","45","65","30","20","45"
NA,"Otros","1917","156","130","156","101","170","165","175","141","140","181","206","196"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","173844","16458","16044","13627","12223","11572","13017","17122","14108","10136","13804","16126","19607"
NA,"Alemania","13875","1496","1144","1279","833","959","728","696","641","1024","1223","1968","1884"
NA,"Austria","1617","206","225","130","65","186","75","90","70","70","90","195","215"
NA,"Bélgica","1511","151","145","90","105","65","95","150","75","195","125","120","195"
NA,"Bulgaria","555","70","25","40","55","45","35","35","15","60","45","70","60"
NA,"Dinamarca","1136","156","195","105","50","75","55","70","95","45","70","65","155"
NA,"Escocia","15","5","0","0","0","0","0","5","5","0","0","0","0"
NA,"España","54145","4187","4290","4621","3821","3771","4985","4970","4525","3804","4887","5148","5136"
NA,"Finlandia","370","45","45","40","60","10","30","10","10","15","25","50","30"
NA,"Francia","33319","3394","4630","2363","2662","2095","1874","3764","3148","1352","2401","2189","3447"
NA,"Grecia","520","50","20","40","15","40","55","45","30","35","50","65","75"
NA,"Holanda","11060","708","724","868","807","803","732","1977","686","734","902","856","1263"
NA,"Hungría","175","40","30","15","10","5","10","5","25","0","5","25","5"
NA,"Inglaterra","5506","582","539","477","391","442","376","736","435","310","426","321","471"
NA,"Irlanda","590","105","40","30","65","50","40","40","35","25","35","55","70"
NA,"Italia","30203","3324","2398","1726","1741","1707","2485","2513","3278","1427","2000","3165","4439"
NA,"Luxemburgo","65","5","20","0","0","5","0","10","0","0","15","0","10"
NA,"Noruega","1201","100","205","171","75","65","105","160","35","25","55","80","125"
NA,"Polonia","925","70","110","95","25","55","105","65","60","40","105","125","70"
NA,"Portugal","2194","161","125","276","356","181","220","160","120","120","175","140","160"
NA,"República Checa","470","20","50","35","55","25","10","15","5","45","30","135","45"
NA,"Rumania","605","50","50","50","40","65","60","35","50","30","55","65","55"
NA,"Rusia","4409","552","240","301","356","336","306","415","360","320","426","441","356"
NA,"Suecia","1151","126","115","115","65","80","75","115","85","60","90","55","170"
NA,"Suiza","5978","613","465","542","396","356","376","931","190","315","416","421","957"
NA,"Ucrania","1398","122","140","158","110","126","90","55","70","55","85","252","135"
NA,"Otros","851","120","74","60","65","25","95","55","60","30","68","120","79"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","2110","155","290","130","155","180","130","150","200","120","185","230","185"
NA,"Australia","900","60","135","45","55","60","80","70","60","55","105","105","70"
NA,"Otros","1210","95","155","85","100","120","50","80","140","65","80","125","115"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","440146","54579","54316","57465","34406","29973","31444","34897","30396","20810","24214","28357","39289"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","11583","1097","665","785","794","807","976","1226","1632","802","865","863","1071"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","9855","921","583","671","685","693","791","1057","1419","662","704","717","952"
NA,"EXTRANJEROS","1728","176","82","114","109","114","185","169","213","140","161","146","119"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","428563","53482","53651","56680","33612","29166","30468","33671","28764","20008","23349","27494","38218"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","27772","1491","1754","2303","1621","2043","3074","4721","3042","1552","1200","1273","3698"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","400791","51991","51897","54377","31991","27123","27394","28950","25722","18456","22149","26221","34520"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","244999","35501","37004","39163","22152","14080","15122","16391","11451","7406","9791","14179","22759"
NA,"Canadá","126957","25575","25538","25039","12758","3487","2675","2921","2534","1913","2983","6879","14655"
NA,"Estados Unidos","117904","9910","11461","14124","9384","10578","12422","13455","8897","5493","6797","7279","8104"
NA,"México","138","16","5","0","10","15","25","15","20","0","11","21","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","2425","200","195","175","165","200","235","250","200","205","180","190","230"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","420","25","35","75","35","20","20","25","35","40","30","25","55"
NA,"Costa Rica","15","0","5","0","5","0","5","0","0","0","0","0","0"
NA,"Cuba","5","0","0","0","5","0","0","0","0","0","0","0","0"
NA,"Curazao","5","0","0","0","5","0","0","0","0","0","0","0","0"
NA,"El Salvador","105","15","5","5","10","15","5","20","0","0","5","15","10"
NA,"Guadalupe","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Guatemala","40","5","0","5","0","0","0","15","0","5","0","10","0"
NA,"Haití","515","55","60","15","30","20","60","55","60","60","55","20","25"
NA,"Honduras","40","0","5","0","0","10","5","0","10","5","0","5","0"
NA,"Jamaica","140","0","25","30","5","30","15","5","5","5","10","5","5"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","35","0","5","10","0","0","0","0","5","0","5","0","10"
NA,"Puerto  Rico","705","70","25","25","20","65","65","85","40","85","75","55","95"
NA,"San Martin","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Trinidad y Tobago","130","10","0","5","15","10","25","10","20","0","0","30","5"
NA,"Virgenes Americanas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","270","20","30","5","35","30","35","35","25","5","0","25","25"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","3439","275","744","260","180","175","645","375","300","95","135","175","80"
NA,"Argentina","165","30","20","15","10","5","20","25","20","10","0","0","10"
NA,"Bolivia","25","0","0","0","10","0","0","0","0","0","0","10","5"
NA,"Brasil","135","20","5","20","10","0","10","20","10","0","10","15","15"
NA,"Chile","45","5","10","0","15","5","0","5","0","0","5","0","0"
NA,"Colombia","995","30","25","85","40","55","525","70","50","25","30","50","10"
NA,"Ecuador","1319","145","614","80","20","35","35","205","105","30","25","20","5"
NA,"Perú","190","15","20","20","25","5","20","10","30","5","5","25","10"
NA,"Uruguay","35","5","15","0","0","5","0","0","0","0","5","5","0"
NA,"Venezuela","135","15","10","15","5","5","10","15","35","5","5","10","5"
NA,"Otros","395","10","25","25","45","60","25","25","50","20","50","40","20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","945","80","115","130","90","75","70","65","85","30","35","55","115"
NA,"China","60","0","0","5","10","10","0","0","5","0","5","15","10"
NA,"Corea del Sur","60","5","10","0","10","5","5","0","5","0","0","5","15"
NA,"India","140","25","15","25","20","5","10","10","10","10","5","0","5"
NA,"Israel","160","10","10","35","10","10","5","10","15","5","5","15","30"
NA,"Japón","100","15","10","5","15","10","5","10","5","0","5","0","20"
NA,"Taiwan","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Otros","425","25","70","60","25","35","45","35","45","15","15","20","35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","147858","15810","13699","14579","9339","12498","11257","11779","13621","10665","11883","11502","11226"
NA,"Alemania","35663","3770","3012","3530","2170","2567","2331","2446","2674","2704","3634","3757","3068"
NA,"Austria","1390","135","105","105","125","80","95","170","80","0","50","145","300"
NA,"Bélgica","4171","305","300","370","320","385","280","325","330","386","340","510","320"
NA,"Bulgaria","85","15","10","0","20","10","0","5","0","0","5","5","15"
NA,"Dinamarca","545","140","130","85","25","15","5","50","30","0","10","50","5"
NA,"Escocia","56","0","5","5","0","0","5","6","0","0","35","0","0"
NA,"España","1840","20","35","25","35","25","30","380","970","265","20","15","20"
NA,"Finlandia","2220","475","480","270","25","5","35","15","5","0","15","455","440"
NA,"Francia","9464","1860","1403","1505","965","175","165","870","1385","85","100","150","801"
NA,"Grecia","80","25","5","0","10","0","0","20","0","10","0","5","5"
NA,"Holanda","9233","1165","894","750","430","846","655","865","790","676","856","670","636"
NA,"Hungría","115","30","10","15","5","10","5","5","5","0","15","10","5"
NA,"Inglaterra","69058","5685","5230","6105","4319","7745","6936","5857","6643","6214","6007","4493","3824"
NA,"Irlanda","335","90","25","30","10","40","80","20","10","0","10","15","5"
NA,"Italia","1970","215","420","90","70","90","130","155","205","90","105","160","240"
NA,"Luxemburgo","60","10","0","5","5","0","0","15","0","0","5","20","0"
NA,"Noruega","545","55","145","50","40","30","35","50","25","15","25","25","50"
NA,"Polonia","1585","260","220","120","105","95","175","85","80","30","145","165","105"
NA,"Portugal","605","70","50","60","60","20","25","90","110","20","35","35","30"
NA,"República Checa","295","70","20","35","15","25","30","0","20","5","20","45","10"
NA,"Rumania","145","10","5","20","30","10","0","0","0","0","5","35","30"
NA,"Rusia","1505","220","185","135","85","90","105","55","105","85","150","150","140"
NA,"Suecia","2961","680","600","700","50","65","15","25","20","15","55","75","661"
NA,"Suiza","2695","335","280","385","300","75","75","205","60","60","170","365","385"
NA,"Ucrania","341","40","40","70","30","25","0","20","25","0","16","40","35"
NA,"Otros","896","130","90","114","90","70","45","45","49","5","55","107","96"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1125","125","140","70","65","95","65","90","65","55","125","120","110"
NA,"Australia","900","115","115","50","50","55","40","80","50","40","100","95","110"
NA,"Otros","225","10","25","20","15","40","25","10","15","15","25","25","0"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD",NA,"M E S E S*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"TOTAL","ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","2021658","215132","199360","214683","178193","142294","162751","194078","162168","100273","110837","147107","194782"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","3915","251","151","225","226","241","338","677","497","361","236","240","472"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","3336","225","136","198","191","215","304","547","387","258","206","222","447"
NA,"EXTRANJEROS","579","26","15","27","35","26","34","130","110","103","30","18","25"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","2017743","214881","199209","214458","177967","142053","162413","193401","161671","99912","110601","146867","194310"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","6351","217","239","396","340","611","709","871","633","394","312","281","1348"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","2011392","214664","198970","214062","177627","141442","161704","192530","161038","99518","110289","146586","192962"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","1064896","121237","120731","134924","106135","74689","87185","96322","72779","36124","44027","68869","101874"
NA,"Canadá","470332","74659","72702","76150","54865","20982","14289","16923","15913","11998","17531","33775","60545"
NA,"Estados Unidos","590267","45956","47870","58439","50870","53397","72546","79005","56531","23692","26252","34755","40954"
NA,"México","4297","622","159","335","400","310","350","394","335","434","244","339","375"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","41784","1125","1274","871","1400","3371","10394","15705","3057","754","915","2159","759"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","0","0","0","0","0","0","0","0","0","0","0","0","0"
