"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,"TOTAL","ENERO","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","4586264","452169","419934","451189","368894","333162","383618","463882","387166","254343","285514","335609","450784"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","461721","47905","24155","29360","37373","36143","35243","46183","54056","35051","38260","38573","39419"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","410913","41749","21408","26072","33184","31989","31225","41166","48175","31055","34081","34779","36030"
NA,"EXTRANJEROS","50808","6156","2747","3288","4189","4154","4018","5017","5881","3996","4179","3794","3389"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","4124543","404264","395779","421829","331521","297019","348375","417699","333110","219292","247254","297036","411365"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","603433","38008","41743","50585","42298","50208","57611","71028","52728","38907","39922","40834","79561"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","3521110","366256","354036","371244","289223","246811","290764","346671","280382","180385","207332","256202","331804"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","1907776","205443","212331","234159","172433","130812","165331","190450","134391","72354","88444","122801","178827"
NA,"Canadá","659063","111407","108826","111527","73570","26556","19205","22649","20835","15315","22118","44918","82137"
NA,"Estados Unidos","1226367","91921","101868","120685","97069","102546","144103","165614","111689","55344","64481","76031","95016"
NA,"México","22346","2115","1637","1947","1794","1710","2023","2187","1867","1695","1845","1852","1674"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","113896","6881","7604","6402","6509","9072","16782","22261","9002","6206","7098","8596","7483"
NA,"Aruba","108","1","6","5","20","14","10","17","1","9","2","5","18"
NA,"Caicos y Turcas, Islas","916","75","55","121","70","39","79","55","71","104","85","52","110"
NA,"Costa Rica","7810","542","527","603","664","690","578","701","791","690","617","754","653"
NA,"Cuba","12500","712","743","765","731","1016","1383","2145","1657","927","817","773","831"
NA,"Curazao","120","5","0","15","10","0","5","15","0","15","40","10","5"
NA,"El Salvador","5130","374","358","368","335","543","473","492","453","353","551","514","316"
NA,"Guadalupe","47","0","0","0","0","0","0","35","0","0","0","5","7"
NA,"Guatemala","5692","323","371","538","368","525","475","462","526","406","556","601","541"
NA,"Haití","14627","1931","2137","1334","1000","1037","1191","1081","1294","976","863","777","1006"
NA,"Honduras","2823","160","200","256","277","224","205","306","274","274","247","221","179"
NA,"Jamaica","1898","107","99","179","147","225","208","293","153","143","101","146","97"
NA,"Martinica","167","0","0","0","0","0","0","75","90","0","0","0","2"
NA,"Panamá","8086","570","778","404","615","719","625","616","651","610","873","892","733"
